family,prompt_sha1,seed,pos_arm,neg_arm,delta,matches_prediction
blockshuffle,5421ab290b,1337,2.82407,2.644799,0.179272,yes
blockshuffle,5421ab290b,42,3.106723,2.405498,0.701224,yes
blockshuffle,5421ab290b,4242145,2.830825,2.357668,0.473157,yes
blockshuffle,5421ab290b,777,2.822056,2.360107,0.461949,yes
blockshuffle,5421ab290b,9999,3.013481,2.619484,0.393997,yes
blockshuffle,5b67e787c8,1337,2.90319,2.263466,0.639724,yes
blockshuffle,5b67e787c8,42,2.998724,2.535876,0.462848,yes
blockshuffle,5b67e787c8,4242145,2.955412,2.396835,0.558577,yes
blockshuffle,5b67e787c8,777,2.901656,2.439821,0.461835,yes
blockshuffle,5b67e787c8,9999,2.79752,2.479212,0.318308,yes
blockshuffle,66faaa372d,1337,3.029123,2.746637,0.282486,yes
blockshuffle,66faaa372d,42,3.158556,2.628441,0.530115,yes
blockshuffle,66faaa372d,4242145,3.125904,2.71393,0.411974,yes
blockshuffle,66faaa372d,777,3.114536,2.773273,0.341263,yes
blockshuffle,66faaa372d,9999,3.015864,2.622815,0.393049,yes
blockshuffle,8c3325ffd9,1337,2.865883,2.453542,0.41234,yes
blockshuffle,8c3325ffd9,42,2.82524,2.357996,0.467244,yes
blockshuffle,8c3325ffd9,4242145,2.76134,2.27413,0.48721,yes
blockshuffle,8c3325ffd9,777,2.751062,2.350167,0.400895,yes
blockshuffle,8c3325ffd9,9999,2.739699,2.328526,0.411173,yes
blockshuffle,90ec9bbe8c,1337,3.172353,2.897673,0.274679,yes
blockshuffle,90ec9bbe8c,42,3.244457,2.86659,0.377867,yes
blockshuffle,90ec9bbe8c,4242145,3.097912,2.868766,0.229146,yes
blockshuffle,90ec9bbe8c,777,3.202728,2.789305,0.413423,yes
blockshuffle,90ec9bbe8c,9999,3.268079,2.856343,0.411735,yes
blockshuffle,92b7d2e00d,1337,3.060085,2.874547,0.185538,yes
blockshuffle,92b7d2e00d,42,3.089878,2.841855,0.248023,yes
blockshuffle,92b7d2e00d,4242145,3.032665,2.777739,0.254927,yes
blockshuffle,92b7d2e00d,777,2.996444,2.852293,0.144151,yes
blockshuffle,92b7d2e00d,9999,3.070687,2.891667,0.17902,yes
blockshuffle,952efcc3c6,1337,2.708376,2.692401,0.015975,yes
blockshuffle,952efcc3c6,42,3.038316,2.770754,0.267562,yes
blockshuffle,952efcc3c6,4242145,3.041122,2.496236,0.544886,yes
blockshuffle,952efcc3c6,777,2.714857,2.480503,0.234354,yes
blockshuffle,952efcc3c6,9999,2.768731,2.377102,0.391629,yes
blockshuffle,a324a148e4,1337,3.020874,2.983625,0.037248,yes
blockshuffle,a324a148e4,42,3.060383,2.871376,0.189007,yes
blockshuffle,a324a148e4,4242145,3.022108,2.888431,0.133677,yes
blockshuffle,a324a148e4,777,2.937206,2.518082,0.419124,yes
blockshuffle,a324a148e4,9999,3.119737,2.802638,0.317098,yes
randsign,0a1c94584d,1337,2.329096,2.459621,-0.130525,yes
randsign,0a1c94584d,42,2.400406,2.646342,-0.245936,yes
randsign,0a1c94584d,4242145,2.319343,2.533444,-0.214102,yes
randsign,0a1c94584d,777,2.388124,2.598446,-0.210322,yes
randsign,0a1c94584d,9999,2.33451,2.5637,-0.229189,yes
randsign,0aa12a28b0,1337,2.75129,2.824142,-0.072852,yes
randsign,0aa12a28b0,42,2.831345,2.838399,-0.007053,yes
randsign,0aa12a28b0,4242145,2.665943,2.775907,-0.109964,yes
randsign,0aa12a28b0,777,2.693267,2.811325,-0.118057,yes
randsign,0aa12a28b0,9999,2.727614,2.76335,-0.035737,yes
