file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share,condition,prompt_dir,prompt_sha1,seed,rel_path,source_manifest
S7_glass_baseline_seed9999_00001_.png,1024,1280,5.599999904632568,2.3069088459014893,0.41194801521212737,0.128717041015625,89.31286394917946,1889,3.1798620223999023,3.896280288696289,0.5328499999999999,0.9035306530500224,12.245014797360485,54.589569091796875,2,19.0,5.44036138126441,8.47490522522893,0.6557732469852123,0.15398264685694357,0.9165292129698315,3.1580900599893824,0.8624107360839843,-3.7925886554283816,9.108465993025884e-06,baseline,S7,80cb4b3354,9999,renders/S7_glass_baseline_seed9999_00001_.png,stage9_images.csv
S7_glass_baseline_seed4242145_00001_.png,1024,1280,4.393799781799316,2.2450006008148193,0.5109474059592819,0.12820587158203126,94.03581421376609,1787,3.1873037815093994,3.9152934551239014,0.5417500000000001,0.9001396406165891,12.130428112355059,50.09745788574219,2,19.0,5.395386262763872,7.8415557452998685,0.6612769575708466,0.15984599223343104,0.9183016535085533,3.1688675205217987,0.8576972961425782,-3.6737517010404552,1.1463158882284928e-05,baseline,S7,80cb4b3354,4242145,renders/S7_glass_baseline_seed4242145_00001_.png,stage9_images.csv
S7_glass_preset_pos_1x_seed42_00001_.png,1024,1280,4.393799781799316,2.50821590423584,0.5708534819055169,0.130950927734375,67.02069504099961,2561,3.284961700439453,3.993361711502075,0.55375,0.8906222383986842,11.814518705944037,50.61002731323242,2,20.0,5.278619410722895,6.273938167525801,0.6524571647770351,0.17391946793564925,0.9409775308053141,3.17985772168001,0.8610748291015625,-3.7346326798049976,1.0491989688692803e-05,preset_pos_1x,S7,80cb4b3354,42,renders/S7_glass_preset_pos_1x_seed42_00001_.png,stage9_images.csv
S7_glass_preset_pos_1x_seed777_00001_.png,1024,1280,4.393799781799316,2.311983823776245,0.5261923479884781,0.1354278564453125,75.47108843537416,2352,3.290921211242676,3.983010768890381,0.5903,0.8792462469607862,11.447693039057357,49.053077697753906,1,20.0,5.27634446728983,6.3098329988496165,0.6484174749668913,0.17461548415694586,0.9369195086717694,3.179866173044281,0.8631454467773436,-3.7481078055336283,1.0838524297338257e-05,preset_pos_1x,S7,80cb4b3354,777,renders/S7_glass_preset_pos_1x_seed777_00001_.png,stage9_images.csv
S7_glass_preset_pos_1x_seed1337_00001_.png,1024,1280,5.599999904632568,2.4529802799224854,0.4380322003029449,0.10786972045898438,88.20149719276357,1603,3.0794146060943604,3.8732194900512695,0.5956,0.8756219507384876,11.333234842732159,56.71539306640625,2,19.0,5.775336770547211,6.801342784505916,0.6844039612204318,0.18632647474372385,0.9371394135779465,3.1461308743594083,0.8670181274414064,-3.858746100552234,8.989938314666356e-06,preset_pos_1x,S7,80cb4b3354,1337,renders/S7_glass_preset_pos_1x_seed1337_00001_.png,stage9_images.csv
S7_glass_preset_pos_1x_seed9999_00001_.png,1024,1280,4.393799781799316,2.407275915145874,0.5478802027160337,0.1360595703125,68.06717557251909,2620,3.315100908279419,3.9914181232452393,0.5986499999999999,0.8697068604875241,11.148884332588539,49.99322509765625,2,20.0,4.939224850417957,6.439731634235228,0.6403628307368068,0.15687396077615934,0.9331961458024707,3.1981461737365366,0.8546897888183593,-3.686208266551295,1.241763686838631e-05,preset_pos_1x,S7,80cb4b3354,9999,renders/S7_glass_preset_pos_1x_seed9999_00001_.png,stage9_images.csv
S7_glass_preset_pos_1x_seed4242145_00001_.png,1024,1280,4.393799781799316,2.5347630977630615,0.5768954489603629,0.12787857055664062,67.3144578313253,2490,3.3332419395446777,3.984705686569214,0.5727000000000001,0.8841848868429124,11.605522305328613,51.38740539550781,1,20.0,5.529790506800547,6.0060159533096105,0.6589779197007841,0.1728593668882804,0.9358907596401599,3.185702004734932,0.8610687255859375,-3.7172630062936713,1.1451163189832152e-05,preset_pos_1x,S7,80cb4b3354,4242145,renders/S7_glass_preset_pos_1x_seed4242145_00001_.png,stage9_images.csv
S7_glass_preset_pos_2x_seed42_00001_.png,1024,1280,4.0,2.577894449234009,0.6444736123085022,0.12045822143554688,54.0708904109589,2920,3.489197015762329,4.050392150878906,0.5855,0.8724095176712524,11.232740691552928,53.78834915161133,1,21.0,5.00505246881358,4.53820662305659,0.6741731093688994,0.20108740937839775,0.9570310708647093,3.190858395698097,0.8666122436523438,-3.6943433748502237,9.980176896776574e-06,preset_pos_2x,S7,80cb4b3354,42,renders/S7_glass_preset_pos_2x_seed42_00001_.png,stage9_images.csv
S7_glass_preset_pos_2x_seed777_00001_.png,1024,1280,4.0,2.4386916160583496,0.6096729040145874,0.12815628051757813,57.48699520876112,2922,3.4245312213897705,4.048512935638428,0.5793,0.8784150764386275,11.421342273204742,52.63650894165039,1,21.0,4.74372372600638,4.996642554698069,0.6589488166194523,0.19616020884344115,0.9536682653340232,3.1930792319332406,0.8671638488769532,-3.7356495628137147,9.292411340271366e-06,preset_pos_2x,S7,80cb4b3354,777,renders/S7_glass_preset_pos_2x_seed777_00001_.png,stage9_images.csv
S7_glass_preset_pos_2x_seed1337_00001_.png,1024,1280,4.393799781799316,2.5417392253875732,0.5784831698331732,0.11697158813476563,59.74941543257989,2566,3.3617749214172363,4.029304027557373,0.63505,0.8385232077563975,10.225452846983462,57.9930305480957,2,21.0,5.268271737586629,5.178535589583324,0.6745746725603545,0.20259207852281289,0.9534907259489889,3.176528870626211,0.8684356689453124,-3.7525101365903217,9.552066097290408e-06,preset_pos_2x,S7,80cb4b3354,1337,renders/S7_glass_preset_pos_2x_seed1337_00001_.png,stage9_images.csv
