run_id,prompt_id,seed,condition,cond_tag,dose_target_D,angle_deg,image_path,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
15,P01,1618033,scrA_neg,scrA_neg_d060,0.06,-31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_neg_d060_00001_.png,P01_s1618033_scrA_neg_d060_00001_.png,1024,1280,4.0,1.8975704908370972,0.4743926227092743,0.0654296875,43.204030226700255,1985,3.94791579246521,4.097201347351074,0.4183,0.9409597080561761,13.58402234664382,31.396068572998047,2,23.0,4.034748752402404,2.4191425172050387,0.6961444565997974,0.13823135007676396,0.9553516971468756,2.510070745477542,0.9711868286132813,-3.8580083258744624,2.7846512423573676e-06
16,P01,1618033,scrA_pos,scrA_pos_d030,0.03,15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_pos_d030_00001_.png,P01_s1618033_scrA_pos_d030_00001_.png,1024,1280,4.0,2.19355845451355,0.5483896136283875,0.130181884765625,54.014561570117124,3159,3.3670034408569336,4.001900672912598,0.54765,0.8714269959319438,11.202182900899777,47.89522933959961,1,18.0,5.850097167375662,9.462715294832986,0.6748452987601063,0.20792286475281352,0.8704059743115109,2.997842382813119,0.922259521484375,-3.442285403388386,1.999033635869309e-05
17,P01,1618033,scrA_pos,scrA_pos_d045,0.045001,23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_pos_d045_00001_.png,P01_s1618033_scrA_pos_d045_00001_.png,1024,1280,4.0,2.2520248889923096,0.5630062222480774,0.0584136962890625,66.69337979094077,1148,3.1909899711608887,3.945736885070801,0.65025,0.7929739668630926,9.012303303822819,48.67448806762695,1,18.0,5.667434093409692,2.8392051156603277,0.8205412549688054,0.3610510636641411,0.9338113496919718,2.674477594496033,0.9581924438476563,-3.409931905471771,2.1728467048291873e-05
18,P01,1618033,scrA_pos,scrA_pos_d060,0.06,31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_pos_d060_00001_.png,P01_s1618033_scrA_pos_d060_00001_.png,1024,1280,2.799999952316284,1.7558406591415405,0.6270859603726175,0.012335205078125,50.36760124610592,321,3.705484628677368,4.0498046875,0.6555,0.8236239699446092,9.81165073864231,36.69960021972656,1,20.0,5.09479188483201,0.44684118308576737,0.8863218931961206,0.3543973666298447,0.9806519930715665,2.7163435613499995,0.9613319396972656,-3.610806296064546,5.721101576243864e-06
19,P01,1618033,scrB_neg,scrB_neg_d030,0.03,-21.3119,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrB_neg_d030_00001_.png,P01_s1618033_scrB_neg_d030_00001_.png,1024,1280,2.0,1.103183388710022,0.551591694355011,0.01717376708984375,85.91603053435115,262,3.1153011322021484,3.839108467102051,0.5345500000000001,0.879433796265271,11.453647354063623,74.97289276123047,2,24.0,3.7697356313800263,0.5132193226674219,0.8358416742720033,0.26559392344959465,0.9866997731178191,3.0378543707868677,0.8591094970703124,-3.6139779419003317,8.649640139780823e-07
20,P01,1618033,scrB_neg,scrB_neg_d045,0.045001,-32.21,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrB_neg_d045_00001_.png,P01_s1618033_scrB_neg_d045_00001_.png,1024,1280,,,,0.0,0.0,0,3.319469690322876,3.75626540184021,0.581,0.8625442178588745,10.929661925903163,44.17851257324219,1,,,0.10187577977133139,0.9493646279011634,0.47074496929712084,0.9712079137208953,2.3774155560763304,0.9573051452636719,-3.394992887819165,4.0752154756333524e-07
21,P01,1618033,scrB_neg,scrB_neg_d060,0.06,-43.405426,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrB_neg_d060_00001_.png,P01_s1618033_scrB_neg_d060_00001_.png,1024,1280,2.0,0.38776758313179016,0.19388379156589508,0.0,0.0,0,3.361499786376953,3.616848945617676,0.4083,0.9447349624395815,13.726956157350967,13.722784996032715,1,24.0,3.4219691010609705,0.24862303170696204,0.8807317106404147,0.544562616455811,0.6802966505820276,2.871418028236261,0.9149360656738281,-3.3233493303787927,1.9941749778041782e-06
22,P01,1618033,scrB_pos,scrB_pos_d030,0.03,21.3119,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrB_pos_d030_00001_.png,P01_s1618033_scrB_pos_d030_00001_.png,1024,1280,2.799999952316284,1.1772511005401611,0.42044682878165296,0.01098785400390625,48.820338983050846,295,3.160508871078491,3.7362754344940186,0.7533,0.7538455463146196,8.085753290233045,21.551376342773438,0,21.0,4.686661704570712,0.24602399261928112,0.9415992459270969,0.7799707110441607,0.9447233932188037,2.0565602047610514,0.9459091186523437,-3.069084737866892,3.197072137821509e-05
23,P01,1618033,scrB_pos,scrB_pos_d045,0.045001,32.21,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrB_pos_d045_00001_.png,P01_s1618033_scrB_pos_d045_00001_.png,1024,1280,2.799999952316284,1.2522329092025757,0.44722604661713405,0.026728057861328126,55.78503184713376,628,3.45639705657959,3.880587100982666,0.6438499999999999,0.8295417338141119,9.973963581764007,25.897008895874023,0,25.0,3.14068489483715,0.5430055990699034,0.8674126732255881,0.5374430398515244,0.9903704137279472,2.5720445022723584,0.9401657104492187,-3.671924026577873,1.902558131025828e-06
24,P01,1618033,scrB_pos,scrB_pos_d060,0.06,43.405426,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrB_pos_d060_00001_.png,P01_s1618033_scrB_pos_d060_00001_.png,1024,1280,2.0,0.2803925573825836,0.1401962786912918,8.4686279296875e-05,15.857142857142858,7,3.5622398853302,3.7926642894744873,0.4278,0.9495028239650377,13.909621869091533,26.153532028198242,1,24.0,3.502894412752776,0.2986573917244939,0.8626932345306522,0.6168636392801726,0.5463296962309725,3.117360028720918,0.8141212463378906,-3.4474691196407687,8.163870538589901e-08
25,P01,2718281,B1_neg,B1_neg_d030,0.03,-15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s2718281_B1_neg_d030_00001_.png,P01_s2718281_B1_neg_d030_00001_.png,1024,1280,2.799999952316284,2.048797607421875,0.7317134436831039,0.11390609741210937,61.642857142857146,2422,3.3817427158355713,4.0635905265808105,0.5275,0.8858467529734396,11.65912012301289,42.022491455078125,1,19.0,5.629622621222179,7.331925137050185,0.7192684193653396,0.21369243485220712,0.8933962018924086,3.1466391115020613,0.8701789855957031,-3.3643586832163637,2.1136400994921772e-05
26,P01,2718281,B1_neg,B1_neg_d045,0.045001,-23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s2718281_B1_neg_d045_00001_.png,P01_s2718281_B1_neg_d045_00001_.png,1024,1280,2.799999952316284,1.9328581094741821,0.6903064794252001,0.11253662109375,47.535932968095395,3103,3.7252001762390137,4.095795154571533,0.44120000000000004,0.9405880386706905,13.570031407057899,41.15807342529297,3,22.0,4.491060411579279,7.0532031217611735,0.6735710441451326,0.14298944866407887,0.8906252447770017,2.951812201751409,0.9328437805175781,-3.375160638310156,1.68216059978098e-05
27,P01,2718281,B1_neg,B1_neg_d060,0.06,-31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s2718281_B1_neg_d060_00001_.png,P01_s2718281_B1_neg_d060_00001_.png,1024,1280,2.799999952316284,1.6068235635757446,0.5738655681927812,0.1502166748046875,45.59796201945345,4318,4.016621112823486,4.103994369506836,0.4165,0.9494223943594933,13.906520394036427,41.52153015136719,1,24.0,3.0857089947044583,2.7793011815048194,0.6066341168132818,0.155543790307295,0.8489803687678592,2.5257843677855525,0.9676063537597657,-3.952690146698352,2.2407684068684465e-06
28,P01,2718281,B1_pos,B1_pos_d030,0.03,15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s2718281_B1_pos_d030_00001_.png,P01_s2718281_B1_pos_d030_00001_.png,1024,1280,2.799999952316284,2.0314135551452637,0.7255048534785825,0.14826736450195313,59.962048750385684,3241,3.253236770629883,3.9608120918273926,0.53175,0.8850250792553862,11.632588976241491,42.53119659423828,1,19.0,5.479517564769537,8.845397976951443,0.668225256212685,0.20082152449607235,0.8634143429504506,3.0393632051843875,0.9149711608886719,-3.482661770528628,1.5833295729977256e-05
