type,report,prompt_id,seed,block,rot_kind,angle_deg,image_path,file,condition,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
rotX,benchmark_elf_brawler,elf_brawler,,Block_2,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_2_rotX_+30.0_00001_.png,Block_2_rotX_+30.0_00001_.png,,,,,1024,1760,99.1778,0.6748,220.48,0.196,#fbfdfd,2.3816,0.9852,37.37,0.1908,#0b0807,0.8119,77.7014,12.6029,5,0.2831,74.0269,1.4028,0.3627,3.56,0.2206,#060505,41.0188,22.73,150.17,0.0357,#44694e,43.4076,74.3896,301.52,0.0059,#6054d1,54.4987,39.2892,115.73,0.0625,#798943,67.4373,52.8872,59.01,0.0396,#e69053,79.1042,20.3227,78.14,0.0326,#dac09f
rotX,benchmark_elf_brawler,elf_brawler,,Block_3,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_3_rotX_-30.0_00001_.png,Block_3_rotX_-30.0_00001_.png,,,,,1024,1760,97.8456,0.7845,135.22,0.1955,#f8f9f8,2.182,0.5134,59.19,0.1864,#090807,0.8292,74.8833,8.0815,5,0.2897,77.729,1.6021,0.4634,40.5,0.2174,#070605,24.3055,23.5117,41.58,0.0511,#582f23,41.678,34.7215,116.81,0.0722,#59682d,43.3076,78.1923,305.63,0.0059,#6f4dd1,53.6607,56.4867,52.94,0.0369,#c56632,76.4854,12.4437,247.26,0.0243,#a7c0d2
rotX,benchmark_elf_brawler,elf_brawler,,Block_3,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_3_rotX_-15.0_00001_.png,Block_3_rotX_-15.0_00001_.png,,,,,1024,1760,97.8952,1.0708,93.0,0.1957,#faf9f7,3.7587,1.2416,40.7,0.2068,#100d0c,0.8241,70.7587,13.86,4,0.275,77.0364,2.2585,0.6994,13.22,0.2236,#0a0808,42.1829,33.9729,57.47,0.0514,#8c5735,43.4147,77.7358,305.28,0.0057,#6e4ed2,54.2614,36.5873,117.27,0.0318,#788948,69.6744,56.0457,70.97,0.0294,#e29c48,73.0172,14.4483,80.35,0.0343,#c2b199
rotX,benchmark_elf_brawler,elf_brawler,,Block_3,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_3_rotX_+15.0_00001_.png,Block_3_rotX_+15.0_00001_.png,,,,,1024,1760,99.0582,0.1813,119.31,0.1832,#fcfcfc,2.4179,0.9312,35.89,0.1985,#0b0808,0.8286,74.5235,14.1971,5,0.288,72.8612,1.5841,0.3966,7.37,0.227,#070506,44.1025,73.2577,300.91,0.0057,#6057d2,56.0767,36.7287,110.49,0.061,#858b49,58.0265,60.5362,47.45,0.0346,#db6b3f,67.2696,55.0124,68.14,0.0347,#dd9446,76.1077,25.554,68.12,0.031,#dcb491
rotX,benchmark_elf_brawler,elf_brawler,,Block_3,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_3_rotX_+30.0_00001_.png,Block_3_rotX_+30.0_00001_.png,,,,,1024,1760,98.2649,0.4438,161.37,0.1581,#f9fafa,1.2621,0.5165,2.28,0.2196,#060405,0.8601,77.8948,14.9127,5,0.3042,69.9211,1.1989,0.4997,355.47,0.2535,#060404,43.6724,70.4208,299.48,0.0067,#5a58ce,50.2821,20.4186,194.47,0.0175,#468180,57.2556,42.1925,118.41,0.0316,#7c9246,58.41,58.118,57.08,0.0507,#d17436,79.0937,10.0307,80.78,0.0426,#cfc2b2
rotX,benchmark_elf_brawler,elf_brawler,,Block_4,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_4_rotX_-30.0_00001_.png,Block_4_rotX_-30.0_00001_.png,,,,,1024,1760,98.5038,0.6055,230.56,0.1681,#f9fbfc,2.2893,0.6898,27.25,0.1732,#0a0808,0.8445,78.0995,11.8328,5,0.2512,78.0898,1.3598,0.3415,336.69,0.194,#060505,38.5077,20.7199,267.07,0.0505,#415d7c,43.3659,78.4314,305.71,0.006,#6f4dd2,50.1567,37.481,122.4,0.0572,#677f40,60.2817,57.034,60.89,0.0379,#d27c38,79.4592,31.2273,78.6,0.0501,#e4bf8c
rotX,benchmark_elf_brawler,elf_brawler,,Block_4,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_4_rotX_-15.0_00001_.png,Block_4_rotX_-15.0_00001_.png,,,,,1024,1760,99.253,0.1566,157.71,0.1889,#fdfdfd,2.4657,0.7128,30.6,0.2084,#0b0808,0.8195,75.2222,14.3751,5,0.2849,78.4495,1.7334,0.4877,4.38,0.2438,#080606,43.838,78.9372,306.25,0.0059,#734ed3,44.5877,18.3869,253.19,0.0341,#4b6d86,55.2575,35.7614,106.29,0.0411,#878847,61.5081,49.4863,60.84,0.0376,#cf8248,76.9556,22.9707,80.22,0.0372,#d5ba94
rotX,benchmark_elf_brawler,elf_brawler,,Block_4,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_4_rotX_+15.0_00001_.png,Block_4_rotX_+15.0_00001_.png,,,,,1024,1760,99.6624,0.1999,202.26,0.1402,#fefefe,3.1927,1.7138,24.81,0.18,#100a0a,0.8623,73.1452,14.9317,4,0.2343,72.476,1.2871,0.7486,354.46,0.1713,#070405,43.3092,29.9238,123.64,0.063,#596d3c,44.0879,73.2246,301.13,0.0058,#6156d2,59.1049,21.6258,267.54,0.0161,#7590b4,60.6291,56.5207,59.45,0.0566,#d47c3b,74.4322,28.8598,69.89,0.0404,#daaf86
rotX,benchmark_elf_brawler,elf_brawler,,Block_4,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_4_rotX_+30.0_00001_.png,Block_4_rotX_+30.0_00001_.png,,,,,1024,1760,99.4132,0.0837,5.56,0.1201,#fdfdfd,4.5206,1.5554,41.46,0.2075,#130f0e,0.8836,69.8032,9.6286,5,0.2738,68.2369,3.7885,1.4047,37.29,0.2177,#100d0c,33.9795,27.8298,129.37,0.0561,#3f572d,44.0146,69.6416,297.75,0.0084,#545ad0,45.688,19.8663,183.36,0.02,#40756e,63.7471,50.3814,74.89,0.0224,#c79042,73.5917,11.0415,72.17,0.0388,#c3b2a2
rotX,benchmark_elf_brawler,elf_brawler,,Block_5,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_5_rotX_-30.0_00001_.png,Block_5_rotX_-30.0_00001_.png,,,,,1024,1760,99.4856,0.3292,299.59,0.1733,#fefdfe,3.2405,0.9413,24.57,0.175,#0e0b0b,0.8282,68.8938,15.1497,4,0.2432,72.9963,2.4749,0.9833,3.31,0.1984,#0c0809,44.1886,73.9795,301.45,0.0072,#6256d3,46.9228,34.4343,280.76,0.0234,#536fa8,48.3221,29.6697,126.67,0.0448,#637a4a,53.4502,44.3179,45.2,0.0434,#be694b,71.3687,8.7471,69.0,0.0435,#bbaca0
