prompt_id,seed,condition,cond_tag,block_name,angle_label,angle_deg,image_path,run_id,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
P01,P01_s3141592_B4_neg_mid_00001_,,B4_neg_mid,B4,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B4_neg_mid_00001_.png,,P01_s3141592_B4_neg_mid_00001_.png,,52e5b19ca6,P01_s3141592_B4_neg_mid_00001_.png,1024,1280,58.8249,45.7228,50.06,0.0406,#cc7851,3.6704,1.3806,35.15,0.2692,#100c0b,0.978,82.4407,8.2166,6,0.4223,47.0347,2.5068,0.7544,29.23,0.2417,#0b0908,30.8098,11.9527,39.24,0.1805,#5b433d,36.5927,24.5197,32.73,0.0482,#7b4942,46.9124,36.5581,39.64,0.0283,#a45b4a,69.9622,47.7891,61.46,0.0119,#e69a5f,84.9475,33.3907,85.13,0.0072,#f0d095
P01,P01_s3141592_B4_pos_high_00001_,,B4_pos_high,B4,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B4_pos_high_00001_.png,,P01_s3141592_B4_pos_high_00001_.png,,52e5b19ca6,P01_s3141592_B4_pos_high_00001_.png,1024,1280,59.3837,11.7212,67.03,0.0589,#9f8c7c,1.9513,0.8373,1.37,0.3484,#090607,0.9556,83.1435,6.4675,6,0.4856,53.3276,1.1905,0.5236,342.95,0.3334,#050405,27.7007,14.5633,45.57,0.1522,#563b32,35.4044,30.5837,32.43,0.0522,#7f423a,55.6074,53.8512,43.3,0.0212,#d06747,72.0687,46.6199,67.21,0.0121,#e6a362,84.334,27.1351,82.37,0.0096,#eccea0
P01,P01_s3141592_B4_pos_low_00001_,,B4_pos_low,B4,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B4_pos_low_00001_.png,,P01_s3141592_B4_pos_low_00001_.png,,52e5b19ca6,P01_s3141592_B4_pos_low_00001_.png,1024,1280,59.8817,11.105,73.28,0.062,#9e8e7e,2.4848,0.7712,17.16,0.3702,#0b0809,0.9467,78.8242,5.262,6,0.4619,48.1732,1.6978,0.4028,7.59,0.3574,#070606,13.157,7.5542,37.63,0.0422,#2c1f1c,31.9802,14.5639,43.99,0.1045,#60453c,39.6219,28.9336,31.98,0.0405,#894d46,59.4967,48.5761,46.8,0.0315,#d47653,80.522,37.3604,78.04,0.0203,#ecc184
P01,P01_s3141592_B4_pos_mid_00001_,,B4_pos_mid,B4,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B4_pos_mid_00001_.png,,P01_s3141592_B4_pos_mid_00001_.png,,52e5b19ca6,P01_s3141592_B4_pos_mid_00001_.png,1024,1280,60.7683,48.6164,48.88,0.0324,#d67b53,2.1697,0.7874,18.05,0.3486,#0a0707,0.9858,83.8043,9.7848,6,0.399,49.5846,1.6123,0.47,3.63,0.3322,#070606,36.4346,28.8205,32.48,0.0448,#80453e,47.5703,19.2709,55.49,0.0668,#8c6a57,53.4172,50.0546,40.25,0.0113,#c7624a,69.9583,44.3435,61.22,0.0129,#e39b65,85.4166,33.1455,85.36,0.0121,#f1d297
P01,P01_s3141592_B5_neg_high_00001_,,B5_neg_high,B5,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B5_neg_high_00001_.png,,P01_s3141592_B5_neg_high_00001_.png,,52e5b19ca6,P01_s3141592_B5_neg_high_00001_.png,1024,1280,59.6055,41.6885,45.41,0.04,#cd7a5d,3.0021,1.0054,34.88,0.3296,#0d0a0a,0.9724,83.6898,8.8306,6,0.4755,41.4985,2.0892,0.5247,39.22,0.3039,#090707,31.1938,13.2866,36.83,0.1716,#5e433d,36.985,25.9435,29.17,0.0432,#7e4844,48.1117,36.6947,33.19,0.0153,#aa5c52,73.1448,42.0232,65.54,0.0188,#e6a66e,85.779,26.1068,85.27,0.0101,#edd3a6
P01,P01_s3141592_B5_neg_low_00001_,,B5_neg_low,B5,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B5_neg_low_00001_.png,,P01_s3141592_B5_neg_low_00001_.png,,52e5b19ca6,P01_s3141592_B5_neg_low_00001_.png,1024,1280,61.6151,9.2475,74.78,0.0485,#a09385,3.2245,0.9959,19.69,0.3437,#0e0b0b,0.9602,84.0121,10.196,5,0.3866,44.8847,2.3785,0.597,11.75,0.3254,#0a0808,37.7613,24.6405,30.79,0.0402,#7f4b46,42.2502,12.6055,51.65,0.0612,#765f54,54.587,41.4842,41.05,0.0282,#c06c55,71.317,45.4817,63.43,0.0252,#e69f65,86.3906,26.7468,83.46,0.0096,#f1d5a6
P01,P01_s3141592_B5_neg_mid_00001_,,B5_neg_mid,B5,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B5_neg_mid_00001_.png,,P01_s3141592_B5_neg_mid_00001_.png,,52e5b19ca6,P01_s3141592_B5_neg_mid_00001_.png,1024,1280,62.3691,44.901,50.11,0.035,#d6815b,2.9288,0.9257,30.5,0.3268,#0d0a0a,0.9769,85.3183,8.4145,6,0.4784,44.2048,2.1213,0.5159,34.33,0.3052,#090707,31.4605,12.8515,38.05,0.1732,#5e443e,37.1705,25.0598,29.09,0.0456,#7e4945,50.2708,38.4167,35.81,0.017,#b26153,74.0557,44.7207,66.57,0.014,#eba86b,87.4396,27.8604,86.87,0.009,#f2d8a7
P01,P01_s3141592_B5_pos_high_00001_,,B5_pos_high,B5,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B5_pos_high_00001_.png,,P01_s3141592_B5_pos_high_00001_.png,,52e5b19ca6,P01_s3141592_B5_pos_high_00001_.png,1024,1280,59.6062,9.2582,81.33,0.058,#998e80,2.1581,0.7365,56.18,0.3531,#0a0706,0.9479,80.6293,11.757,5,0.3779,50.1166,1.387,0.4416,64.56,0.3411,#060504,37.4766,21.9843,41.77,0.0368,#784e41,55.7403,30.6272,52.22,0.0224,#b1785d,59.0176,50.5582,49.4,0.0276,#d2754c,76.8462,43.8926,73.3,0.0174,#ebb370,82.0163,9.109,93.19,0.0048,#d2ccbb
P01,P01_s3141592_B5_pos_low_00001_,,B5_pos_low,B5,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B5_pos_low_00001_.png,,P01_s3141592_B5_pos_low_00001_.png,,52e5b19ca6,P01_s3141592_B5_pos_low_00001_.png,1024,1280,61.3163,11.6002,75.94,0.0577,#a19280,2.8143,0.9453,43.13,0.3614,#0d0a09,0.9489,84.4635,10.9223,5,0.3947,46.3273,1.8485,0.5732,50.66,0.342,#080606,38.1087,25.7278,34.24,0.0352,#804c43,41.3874,12.8765,55.23,0.0527,#745d51,54.7454,46.9005,43.09,0.0311,#c6694d,73.7758,45.4802,67.41,0.021,#eaa869,86.312,21.8738,86.62,0.0113,#ead6af
P01,P01_s3141592_B5_pos_mid_00001_,,B5_pos_mid,B5,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B5_pos_mid_00001_.png,,P01_s3141592_B5_pos_mid_00001_.png,,52e5b19ca6,P01_s3141592_B5_pos_mid_00001_.png,1024,1280,62.0459,9.2601,80.74,0.0506,#9f9486,2.5481,0.8365,42.67,0.3409,#0b0908,0.9588,85.4239,10.2381,5,0.3708,45.8795,1.6328,0.465,46.48,0.3184,#070605,36.8836,24.3504,37.61,0.0409,#7b4a40,41.6395,11.9187,58.36,0.0524,#735e52,54.8106,46.3445,45.13,0.0329,#c46b4c,74.4634,43.5623,68.95,0.0217,#e8ab6d,87.0567,20.2719,91.64,0.0091,#e8d9b4
