run_idx,prompt_id,seed,condition,node_type,angle,d_target,image_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
260,S05_pencil,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s42_scramble_C_00001_.png,S05_pencil_s42_scramble_C_00001_.png,,,,1024,1760,83.4432,7.4422,94.82,0.1852,#d5d0c2,8.2626,12.9948,283.59,0.2944,#111829,0.7724,66.9358,10.0648,5,0.4332,68.4372,7.9823,14.2811,283.1,0.3461,#0f172a,37.6726,34.2671,23.98,0.0252,#8c4244,42.9512,55.3755,30.77,0.0205,#b33d39,43.5213,76.0262,303.66,0.0064,#6851d1,59.1587,29.6869,83.38,0.0424,#a58b5b,74.9181,7.589,237.45,0.087,#aabbc4
261,S05_pencil,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s42_scramble_D_00001_.png,S05_pencil_s42_scramble_D_00001_.png,,,,1024,1760,85.5892,2.2847,102.91,0.2592,#d7d6d2,8.2483,13.5305,283.19,0.2831,#101829,0.727,70.4081,10.0837,5,0.4026,62.706,7.9823,14.2777,283.1,0.3673,#0f172a,40.7318,49.7268,28.31,0.0352,#a63c3c,43.6891,76.9837,304.25,0.0067,#6b51d3,56.7482,32.6134,111.06,0.0198,#868d52,64.9374,32.2443,64.94,0.0242,#c5936a,78.3903,16.4246,82.41,0.0262,#d2c0a4
262,S05_pencil,,,rotator,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s1337_Block_3_pos_00001_.png,S05_pencil_s1337_Block_3_pos_00001_.png,,,,1024,1760,86.922,1.3645,110.25,0.2417,#dadad7,8.2061,13.0229,283.5,0.2932,#111729,0.7388,69.5707,11.2242,5,0.4702,59.5908,7.9823,14.2822,283.1,0.362,#0f172a,38.4975,63.6429,34.41,0.0213,#ac2723,43.682,73.873,301.43,0.0064,#6055d1,67.5238,55.0657,79.78,0.0292,#cf9c3f,75.7909,22.7657,75.62,0.0289,#d4b693,77.5531,15.0648,239.97,0.1082,#a2c5d7
263,S05_pencil,,,rotator,-25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s1337_Block_3_neg_00001_.png,S05_pencil_s1337_Block_3_neg_00001_.png,,,,1024,1760,86.4147,1.2824,205.1,0.2337,#d5d9d9,7.9878,14.193,283.12,0.2697,#0f172a,0.7711,68.3242,7.6857,5,0.3765,65.3218,7.9832,14.2821,283.1,0.3467,#0f172a,34.9469,46.4519,27.48,0.0298,#923032,43.5101,78.5802,305.72,0.0063,#704ed2,56.4525,28.1222,20.43,0.0155,#b87578,60.7229,32.0249,83.05,0.0242,#ab8e5a,76.3074,13.2585,246.27,0.0239,#a5c0d2
264,S05_pencil,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s1337_scramble_C_00001_.png,S05_pencil_s1337_scramble_C_00001_.png,,,,1024,1760,83.9838,1.9441,166.18,0.2265,#ced2d0,8.0947,13.8447,283.17,0.2768,#10172a,0.8007,71.7462,11.0316,4,0.3782,61.9045,7.9824,14.2825,283.1,0.3342,#0f172a,38.9702,56.1147,30.61,0.0239,#a73130,40.2725,30.5832,17.96,0.0301,#8f4b51,43.4234,76.187,303.63,0.0061,#6851d1,63.4582,34.9539,79.19,0.0439,#b8945c,79.7286,18.5456,81.79,0.0326,#d8c3a4
265,S05_pencil,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s1337_scramble_D_00001_.png,S05_pencil_s1337_scramble_D_00001_.png,,,,1024,1760,85.371,1.9845,103.82,0.2619,#d6d5d2,8.3218,13.2307,283.21,0.2893,#111829,0.7178,69.7856,9.3621,5,0.4887,62.4302,7.9817,14.2822,283.1,0.3723,#0f172a,35.3996,54.4071,31.77,0.0215,#9a2a28,43.4185,76.7124,304.13,0.0068,#6a50d2,44.1666,35.0604,22.61,0.0208,#9f5154,57.021,30.618,90.67,0.0283,#9a8753,77.7673,14.6763,245.81,0.1164,#a6c5d9
266,S05_pencil,,,rotator,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s4242145_Block_3_pos_00001_.png,S05_pencil_s4242145_Block_3_pos_00001_.png,,,,1024,1760,85.2804,2.6539,104.94,0.2293,#d6d5d0,8.2767,13.4128,283.36,0.2849,#111829,0.7677,70.2902,11.1568,4,0.3836,59.625,7.9826,14.2818,283.1,0.348,#0f172a,39.4037,60.754,33.48,0.0173,#ac2e29,42.6883,36.1158,19.53,0.018,#9d4c52,43.6822,73.9068,301.33,0.0062,#6055d2,63.5463,35.3585,84.56,0.0356,#b4965b,78.2728,17.6548,80.28,0.0337,#d4bfa2
267,S05_pencil,,,rotator,-25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s4242145_Block_3_neg_00001_.png,S05_pencil_s4242145_Block_3_neg_00001_.png,,,,1024,1760,86.2831,1.8025,88.42,0.2114,#dad8d4,7.9831,14.2846,283.11,0.2679,#0f172a,0.7687,61.339,9.4971,6,0.4436,76.1895,7.9826,14.2822,283.1,0.3481,#0f172a,38.4739,56.5871,28.83,0.0137,#a72d31,43.4887,78.5141,305.67,0.0065,#6f4ed2,51.7848,29.2257,18.76,0.012,#ad696d,64.159,19.4558,76.66,0.0309,#b0987a,69.3216,2.3246,73.54,0.0955,#aca9a5
268,S05_pencil,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s4242145_scramble_C_00001_.png,S05_pencil_s4242145_scramble_C_00001_.png,,,,1024,1760,85.6669,5.07,90.03,0.1675,#dad6cd,8.3648,13.4379,283.27,0.285,#11182a,0.8164,70.2016,10.0583,5,0.4308,66.0648,7.9832,14.2818,283.1,0.328,#0f172a,39.0606,56.1513,28.69,0.0281,#a92f33,43.4494,75.9962,303.77,0.0058,#6851d1,51.9546,34.1045,25.68,0.0197,#b36664,71.7811,22.2357,75.07,0.0428,#c9ab89,78.1848,9.9314,238.37,0.1028,#aec5d1
269,S05_pencil,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s4242145_scramble_D_00001_.png,S05_pencil_s4242145_scramble_D_00001_.png,,,,1024,1760,85.6956,1.6095,97.06,0.243,#d7d6d3,8.3181,13.2851,283.27,0.2889,#111829,0.7432,69.8456,10.6008,5,0.4853,62.2841,7.9826,14.282,283.1,0.3597,#0f172a,38.5414,54.6656,31.34,0.0208,#a4322f,43.6638,76.5661,303.99,0.0066,#6a51d2,44.8467,32.5233,20.18,0.0215,#9e5559,57.3252,26.9618,94.46,0.0307,#97895b,77.8281,14.8503,255.16,0.1257,#aac4db
270,S06_pastel,,,rotator,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s42_Block_3_pos_00001_.png,S06_pastel_s42_Block_3_pos_00001_.png,,,,1024,1760,81.2025,7.0164,109.88,0.1117,#cacbbd,9.0595,13.1664,283.0,0.3141,#12192b,0.9273,73.7905,8.7896,5,0.4002,63.5256,7.8655,13.3016,283.4,0.3121,#101728,31.9786,49.5728,36.38,0.0171,#892a1f,43.8138,73.8064,301.01,0.0055,#5f56d2,53.2718,76.8272,39.41,0.0135,#e4472d,56.0295,34.134,62.15,0.0881,#b07b52,81.656,18.9747,84.02,0.0276,#ddc8a8
