run_id,prompt_id,seed,condition,cond_tag,angle_label,angle_deg,image_path,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
20,P01,1618033,scrB_neg,scrB_neg_low,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrB_neg_low_00001_.png,P01_s1618033_scrB_neg_low_00001_.png,1024,1280,2.799999952316284,2.1221752166748047,0.7579197331482979,0.1302825927734375,65.02817974105103,2626,3.01408314704895,3.815462589263916,0.56175,0.8785595142630553,11.42591705622409,60.115211486816406,3,14.0,6.172315188376019,10.905365975299995,0.6969866957086731,0.215538910229567,0.8721691085362308,3.1310639312767403,0.8442718505859375,-3.398876008578985,1.3755300553558452e-05
21,P01,1618033,scrB_neg,scrB_neg_mid,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrB_neg_mid_00001_.png,P01_s1618033_scrB_neg_mid_00001_.png,1024,1280,2.0,1.999813675880432,0.999906837940216,0.1141960144042968,60.99388753056235,2454,2.955578088760376,3.872157573699951,0.49195,0.9200741271856672,12.81975254007014,76.87725830078125,3,20.0,5.007091805201528,4.254777335509493,0.6895323783593394,0.1625605303783365,0.9401196850094776,3.0628885913886448,0.8465438842773437,-3.5165662725010867,4.455412409215257e-06
22,P01,1618033,scrB_pos,scrB_pos_high,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrB_pos_high_00001_.png,P01_s1618033_scrB_pos_high_00001_.png,1024,1280,2.799999952316284,1.2345356941223145,0.4409056125522615,0.0377037048339843,52.461783439490446,942,2.9675865173339844,3.787860870361328,0.7106,0.7626327369055104,8.285167977398055,24.65503120422364,0,20.0,4.88393227061663,0.9367785866803024,0.8608110218285563,0.6084408918474883,0.8920976169328272,2.824113341639214,0.8935493469238281,-3.010359294549533,6.710552281833904e-05
23,P01,1618033,scrB_pos,scrB_pos_low,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrB_pos_low_00001_.png,P01_s1618033_scrB_pos_low_00001_.png,1024,1280,2.799999952316284,1.6881707906723022,0.6029181497934571,0.1327430725097656,67.54231366459628,2576,3.2651078701019287,4.013632774353027,0.5707500000000001,0.8474566535125427,10.481887421156976,27.99996757507324,1,18.0,5.507152395101098,5.711229069597381,0.7023103975090899,0.278822512938831,0.8728919075296773,3.097784453067918,0.8749221801757813,-3.36399612725212,2.7313903840881704e-05
24,P01,1618033,scrB_pos,scrB_pos_mid,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrB_pos_mid_00001_.png,P01_s1618033_scrB_pos_mid_00001_.png,1024,1280,2.799999952316284,1.3564947843551636,0.484462431234333,0.0878929138183593,71.51024208566108,1611,3.0058741569519043,3.90600061416626,0.66875,0.7950196674229042,9.063565302161166,25.83031845092773,0,21.0,4.89994686650558,2.894855104150597,0.7387326924008109,0.3457804792850855,0.8698939677240675,2.949731452888091,0.9108688354492188,-3.2352782729558425,4.640021293203739e-05
25,P01,2718281,B1_neg,B1_neg_high,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_B1_neg_high_00001_.png,P01_s2718281_B1_neg_high_00001_.png,1024,1280,2.799999952316284,2.0582211017608643,0.7350789774329147,0.1072540283203125,68.44206426484908,2054,3.40803337097168,4.063985824584961,0.5668,0.8627813599996519,10.936850515643822,39.43424987792969,1,19.0,5.962702171589486,6.995856310091423,0.7230266603375293,0.245070672258398,0.8988063257192211,3.143297526291548,0.8693832397460938,-3.4375682724279697,1.6786376543139684e-05
26,P01,2718281,B1_neg,B1_neg_low,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_B1_neg_low_00001_.png,P01_s2718281_B1_neg_low_00001_.png,1024,1280,2.799999952316284,2.083463668823242,0.7440941801087205,0.1209976196289062,58.52177121771218,2710,3.255892753601074,4.023299694061279,0.5409999999999999,0.8764535519218467,11.359395895040455,39.79183197021485,1,16.0,6.268718052757051,8.18892240867866,0.7195829574601111,0.2526914333344086,0.8854281798756237,3.1408305641321563,0.8324050903320312,-3.360331587768092,2.0472228557165462e-05
27,P01,2718281,B1_neg,B1_neg_mid,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_B1_neg_mid_00001_.png,P01_s2718281_B1_neg_mid_00001_.png,1024,1280,4.0,2.172004461288452,0.543001115322113,0.1127609252929687,67.27264451524806,2197,3.304666519165039,4.041564464569092,0.54085,0.8706502437500148,11.17808367869938,43.0671501159668,1,17.0,6.064417270179206,7.665696031991052,0.7308521893167707,0.2459149249012131,0.8910558588092301,3.133948474586542,0.8457160949707031,-3.371728906212383,2.0778244782679976e-05
28,P01,2718281,B1_pos,B1_pos_high,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_B1_pos_high_00001_.png,P01_s2718281_B1_pos_high_00001_.png,1024,1280,2.799999952316284,2.1570820808410645,0.7703864705628407,0.1481376647949218,56.5754662004662,3432,3.213916778564453,3.934360504150391,0.52115,0.9042620704973694,12.269871900486844,43.03034210205078,2,18.0,6.021151073785787,10.632709275061805,0.6625370147418659,0.211624609931739,0.8550093315534271,3.016543351721725,0.9197364807128906,-3.468997104382149,1.856127450019124e-05
29,P01,2718281,B1_pos,B1_pos_low,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_B1_pos_low_00001_.png,P01_s2718281_B1_pos_low_00001_.png,1024,1280,2.799999952316284,2.144496202468872,0.7658915139247948,0.1218940734863281,65.15864600326265,2452,3.2522048950195312,4.021834373474121,0.52815,0.8897180314928502,11.784936876201376,39.23335647583008,1,17.0,6.15842410515706,8.498608782229162,0.7132438674900203,0.2394359051832642,0.885743313740109,3.14499999082592,0.84913330078125,-3.4814058469286207,1.506726473331256e-05
