recovered_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex,bench,prompt_id,seed,condition,output_folder
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s1337_Block_1_pos_00001_.png,S09_fresco_s1337_Block_1_pos_00001_.png,,,,1024,1280,83.2935,2.9986,101.41,0.203,#d1d0ca,9.1719,5.1349,333.4,0.0543,#1f181d,0.8174,80.8676,4.6723,6,0.1325,62.6603,6.9472,4.7806,314.26,0.0551,#18141a,25.0025,43.4028,35.86,0.0515,#6f1e17,45.8568,67.4409,37.56,0.033,#c53b2a,57.4561,17.392,246.9,0.0629,#6a8fa5,67.1217,45.5193,83.24,0.0696,#c59e50,87.8148,19.2441,92.05,0.0485,#eadbb8,rotations_block1_vs_block6 + rotations_triangolo,S09_fresco,1337,Block_1_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s1337_baseline_00001_.png,S09_fresco_s1337_baseline_00001_.png,,,,1024,1280,79.1014,22.321,82.42,0.0898,#d9c19b,18.6314,5.5013,39.8,0.074,#352b28,0.9139,62.1594,4.3033,6,0.2497,44.7349,14.3988,4.5792,37.32,0.0507,#2b2321,33.5207,46.1625,34.58,0.0395,#8b3027,48.993,31.2379,28.21,0.0189,#a7615d,56.9446,28.4801,75.41,0.0647,#a48359,68.2897,11.7939,269.63,0.1048,#9ba7bc,76.5582,1.4276,116.59,0.1448,#bdbdba,rotations_block1_vs_block6 + rotations_triangolo,S09_fresco,1337,baseline,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s1337_scramble_B_00001_.png,S09_fresco_s1337_scramble_B_00001_.png,,,,1024,1280,73.8647,20.5896,76.51,0.0631,#ccb191,20.1957,7.3494,49.07,0.0803,#3b2e29,0.9368,56.1966,8.5737,4,0.2504,37.897,14.8763,6.5232,39.63,0.0432,#2f2320,28.7875,41.1728,35.72,0.0249,#782a20,49.8634,15.5504,69.21,0.1615,#89735e,51.3153,28.877,73.95,0.0539,#96744b,52.1346,7.8381,260.36,0.0834,#737e89,71.0728,3.2758,100.84,0.0889,#afaea8,rotations_block1_vs_block6 + rotations_triangolo,S09_fresco,1337,scramble_B,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s42_Block_6_pos_00001_.png,S09_fresco_s42_Block_6_pos_00001_.png,,,,1024,1280,15.8778,23.9556,76.11,0.0364,#382400,3.0354,6.2663,46.66,0.1523,#170700,0.775,18.2459,4.0591,2,0.1827,22.7248,2.313,5.545,38.13,0.0854,#140500,5.3587,12.4834,40.94,0.0868,#220b00,7.7451,12.5111,69.01,0.0755,#221400,8.3584,15.3427,55.79,0.096,#281300,9.0184,19.2295,45.5,0.031,#2f1100,20.5588,28.2698,101.38,0.0005,#353303,rotations_block1_vs_block6 + rotations_triangolo,S09_fresco,42,Block_6_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s4242145_Block_1_neg_00001_.png,S09_fresco_s4242145_Block_1_neg_00001_.png,,,,1024,1280,75.4085,14.7946,90.2,0.1189,#c5b99f,17.3644,4.1559,77.44,0.0575,#2e2a25,0.8433,53.0121,7.624,5,0.2305,50.6973,14.4411,2.8423,77.45,0.0469,#272421,37.884,53.5395,38.93,0.0175,#9d3725,38.8767,12.9657,88.53,0.1289,#645b47,47.7791,21.9605,80.12,0.1016,#846e4d,53.7859,35.9461,40.4,0.0175,#b76d5a,67.4532,4.0439,134.03,0.0861,#a1a69f,rotations_block1_vs_block6 + rotations_triangolo,S09_fresco,4242145,Block_1_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s1337_scramble_A_00001_.png,S09_fresco_s1337_scramble_A_00001_.png,,,,1024,1280,63.816,11.362,39.11,0.0377,#af958e,7.0524,2.4368,358.64,0.2892,#191416,0.9943,63.8304,8.0034,5,0.2788,58.7963,5.8986,2.8989,319.09,0.2176,#151216,15.0712,25.1127,295.48,0.0612,#212246,34.3717,61.6952,35.98,0.0581,#9c1f19,37.1867,27.0116,138.1,0.0398,#3f5f3a,61.8561,60.339,59.76,0.0398,#db7e37,69.729,20.5646,53.32,0.0238,#cba28d,rotations_block1_vs_block6 + rotations_triangolo,S09_fresco,1337,scramble_A,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s4242145_baseline_00001_.png,S09_fresco_s4242145_baseline_00001_.png,,,,1024,1280,80.2408,22.8388,81.17,0.0687,#ddc39d,17.6841,4.5538,43.4,0.0829,#322a27,0.9359,68.6118,10.0503,6,0.2951,47.6756,11.5786,3.4523,31.64,0.0453,#241d1c,45.1128,50.2172,35.74,0.0157,#b14a3c,54.8896,15.0886,75.72,0.1736,#93806a,60.5133,28.335,78.91,0.0605,#ac8d61,71.1308,10.3186,264.46,0.1198,#a2afc1,80.1904,2.5416,107.86,0.1215,#c7c7c2,rotations_block1_vs_block6 + rotations_triangolo,S09_fresco,4242145,baseline,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s4242145_Block_6_neg_00001_.png,S09_fresco_s4242145_Block_6_neg_00001_.png,,,,1024,1280,76.4549,20.414,313.45,0.1129,#cab5d8,63.8668,20.6054,326.75,0.0584,#b191af,0.0639,6.382,1.5561,1,0.2168,7.3251,59.3053,21.0399,330.87,0.0345,#a784a1,63.649,20.7636,319.59,0.1135,#ac92b2,63.7306,23.244,315.99,0.1033,#ab91b7,64.463,23.7742,322.39,0.1018,#b292b6,64.8591,25.886,313.57,0.0561,#ae94bf,65.6873,18.5609,335.66,0.0533,#b896ae,rotations_block1_vs_block6 + rotations_triangolo,S09_fresco,4242145,Block_6_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s4242145_Block_1_pos_00001_.png,S09_fresco_s4242145_Block_1_pos_00001_.png,,,,1024,1280,82.2475,1.4639,257.02,0.2262,#cbcdcf,20.0947,8.312,297.81,0.0986,#312f3b,0.7984,78.9259,7.0316,5,0.16,66.7229,7.6758,6.8016,314.95,0.0551,#1a151d,24.0339,41.4651,31.71,0.0504,#6c1c1a,44.1851,30.661,76.76,0.0634,#826337,46.2792,73.5245,40.1,0.0286,#ca381f,65.4205,44.1463,84.44,0.0548,#be9a4f,86.6017,16.4664,89.37,0.0966,#e6d8ba,rotations_block1_vs_block6 + rotations_triangolo,S09_fresco,4242145,Block_1_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s42_Block_1_neg_00001_.png,S09_fresco_s42_Block_1_neg_00001_.png,,,,1024,1280,75.0499,17.3909,87.79,0.1196,#c7b799,18.2013,5.3498,71.75,0.0627,#322b25,0.8694,61.114,6.1956,5,0.2409,41.7057,15.3944,4.1909,68.99,0.0482,#2b2621,28.9785,9.85,80.21,0.1149,#4d4335,45.3374,4.6882,189.73,0.0916,#626e6c,45.8381,45.8965,39.29,0.0256,#ac523e,58.3286,15.7645,85.38,0.126,#998b71,76.5083,28.337,78.5,0.0133,#d9b88a,rotations_block1_vs_block6 + rotations_triangolo,S09_fresco,42,Block_1_neg,rotations_block1_vs_block6
