file,condition,prompt_dir,prompt_sha1,seed,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex,source_csv
B4_fixed_baseline_seed42_00001_.png,baseline,B4,0d2e3ec37c,42,renders/B4_fixed_baseline_seed42_00001_.png,1024,1280,85.1784,12.0071,232.06,0.0457,#bbdae6,8.6748,4.7528,271.49,0.1105,#16191f,0.9487,88.9435,7.8111,5,0.3229,36.2685,5.9883,2.157,277.12,0.0844,#121316,31.9561,19.6166,266.85,0.0244,#334d6a,36.7074,38.4255,280.67,0.2322,#2f5693,58.6123,33.2692,258.2,0.0907,#4e93c6,71.7234,25.3761,244.72,0.0469,#7bb7d9,94.9318,3.4784,230.57,0.0036,#e9f2f5,palette_features_stage8.csv
B4_fixed_baseline_seed777_00001_.png,baseline,B4,0d2e3ec37c,777,renders/B4_fixed_baseline_seed777_00001_.png,1024,1280,86.776,10.7157,230.89,0.0501,#c3dee9,5.9805,3.7778,273.15,0.1143,#111318,0.9451,68.1519,8.0467,5,0.2792,40.2664,4.9851,2.1184,271.7,0.0994,#0f1114,32.0393,21.0484,267.44,0.0359,#314d6c,34.3957,42.3848,285.62,0.1798,#2e4f92,46.6224,36.5746,273.31,0.0656,#3f71ac,62.5439,31.7048,252.8,0.0776,#569fcc,73.137,17.5928,224.81,0.049,#8bbbca,palette_features_stage8.csv
B4_fixed_baseline_seed1337_00001_.png,baseline,B4,0d2e3ec37c,1337,renders/B4_fixed_baseline_seed1337_00001_.png,1024,1280,76.5719,20.0563,237.97,0.0941,#92c4dc,5.0049,2.8221,271.29,0.0982,#0f1115,0.9068,87.4066,7.0139,6,0.3231,38.3773,4.2126,1.6039,270.44,0.0921,#0d0f12,23.9286,24.4233,278.85,0.0221,#23395d,35.4716,15.5516,249.32,0.0138,#39576a,42.8526,39.9812,277.93,0.231,#3766a7,65.1834,31.3882,250.92,0.0302,#5ca6d3,91.6192,4.7879,231.14,0.0214,#dde9ee,palette_features_stage8.csv
B4_fixed_baseline_seed9999_00001_.png,baseline,B4,0d2e3ec37c,9999,renders/B4_fixed_baseline_seed9999_00001_.png,1024,1280,85.5385,10.9062,231.63,0.0572,#bfdae6,6.0036,3.2984,271.95,0.0804,#111318,0.9423,65.1687,3.5291,6,0.3523,36.9193,5.2584,2.1642,271.24,0.0741,#101215,13.7237,13.0015,274.12,0.0251,#182335,28.595,25.5033,276.67,0.0201,#2a446a,37.7698,39.0835,280.5,0.1964,#305997,53.2552,34.9141,262.65,0.1558,#4084ba,70.4271,26.1799,244.05,0.0542,#74b4d6,palette_features_stage8.csv
B4_fixed_baseline_seed4242145_00001_.png,baseline,B4,0d2e3ec37c,4242145,renders/B4_fixed_baseline_seed4242145_00001_.png,1024,1280,90.606,5.7871,226.17,0.0352,#d8e7ec,5.9208,3.984,274.61,0.0975,#111319,0.9666,71.328,5.9306,6,0.3138,40.0316,5.0474,2.4489,273.32,0.0846,#0f1115,13.9841,15.013,276.33,0.0419,#172438,30.6499,27.1991,274.97,0.0282,#2a4972,37.8031,42.4805,282.95,0.2293,#30589c,61.6004,33.9959,252.31,0.0421,#4a9dcd,76.3754,21.5801,230.73,0.0362,#8ac5db,palette_features_stage8.csv
B4_fixed_preset_pos_seed42_00001_.png,preset_pos,B4,0d2e3ec37c,42,renders/B4_fixed_preset_pos_seed42_00001_.png,1024,1280,86.9574,10.5489,229.86,0.0512,#c3dee9,6.39,4.4174,266.34,0.0955,#10151a,0.9486,67.6846,8.8459,5,0.2609,34.8456,4.9726,2.3779,264.39,0.0751,#0e1115,27.0473,37.2235,284.47,0.1431,#1e3e77,29.233,23.796,269.39,0.0267,#26476a,53.5632,35.0619,261.82,0.1178,#3f86bb,67.6473,28.3969,247.03,0.0538,#68add3,72.6572,17.0752,225.62,0.0426,#8bbac8,palette_features_stage8.csv
B4_fixed_preset_pos_seed777_00001_.png,preset_pos,B4,0d2e3ec37c,777,renders/B4_fixed_preset_pos_seed777_00001_.png,1024,1280,82.7133,15.3048,237.43,0.1025,#afd4e6,4.3265,3.1462,269.64,0.1022,#0c0f14,0.893,64.6912,13.6997,4,0.17,33.8583,3.2886,1.9167,269.17,0.0954,#0a0c10,28.2172,21.2114,272.3,0.0172,#2c4463,33.9088,35.775,280.08,0.0747,#2b5088,34.3622,11.1717,242.61,0.0143,#3d5460,67.8488,27.9723,252.87,0.0292,#71acd5,67.9798,18.6805,220.73,0.0617,#79aebb,palette_features_stage8.csv
B4_fixed_preset_pos_seed1337_00001_.png,preset_pos,B4,0d2e3ec37c,1337,renders/B4_fixed_preset_pos_seed1337_00001_.png,1024,1280,89.0713,8.493,234.7,0.0341,#cfe3ed,4.9273,4.1358,271.29,0.0895,#0d1117,0.9655,70.6261,2.0439,6,0.2445,36.1679,4.0428,3.0457,271.88,0.0799,#0b0e13,14.3483,14.929,273.08,0.0336,#162539,29.7409,33.1821,280.99,0.0449,#264679,43.5233,39.2136,275.1,0.113,#3369a8,58.6588,34.8451,257.19,0.1315,#4694c8,74.6689,20.2875,233.27,0.0545,#8ac0d5,palette_features_stage8.csv
B4_fixed_preset_pos_seed9999_00001_.png,preset_pos,B4,0d2e3ec37c,9999,renders/B4_fixed_preset_pos_seed9999_00001_.png,1024,1280,87.3393,10.6461,233.43,0.0441,#c5dfeb,5.4645,5.2555,272.03,0.0857,#0e1219,0.957,70.3512,7.5858,5,0.3077,38.4703,4.0778,3.1617,271.91,0.0692,#0b0f14,12.1147,15.016,274.94,0.0438,#122034,28.2198,28.1822,276.09,0.0307,#23436e,30.9382,41.632,284.92,0.2063,#224788,53.1831,37.5581,262.57,0.1014,#3585bf,74.429,25.3126,242.6,0.0428,#81bfe0,palette_features_stage8.csv
B4_fixed_preset_pos_seed4242145_00001_.png,preset_pos,B4,0d2e3ec37c,4242145,renders/B4_fixed_preset_pos_seed4242145_00001_.png,1024,1280,88.1531,10.522,236.54,0.0433,#c8e1ed,4.7697,4.0093,272.56,0.1071,#0d1016,0.9576,66.3117,6.142,6,0.2867,39.1688,3.4577,1.8514,273.36,0.0812,#0b0d10,18.1104,21.5852,277.38,0.0306,#172d4b,31.9772,41.0202,283.86,0.1852,#234a8a,55.515,37.7038,261.41,0.1015,#3a8bc5,64.2943,31.5101,248.75,0.0354,#56a4d0,69.7695,22.0871,230.2,0.076,#76b3c9,palette_features_stage8.csv
