run_idx,prompt_id,seed,condition,node_type,angle,d_target,image_path,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
117,S06_pastel,1337,scramble_A,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s1337_scramble_A_00001_.png,S06_pastel_s1337_scramble_A_00001_.png,1024,1760,2.0,2.0977489948272705,1.0488744974136353,0.01889371004971591,57.13255033557047,596,3.413707733154297,4.017113208770752,0.5608,0.8676918530098408,11.086771557426042,69.89771270751953,3,18.0,8.213456644609268,1.3367644590983312,0.8897813683497218,0.3344698437429983,0.9771962927756188,2.5936745266644268,0.9488569779829545,-2.7932787085059525,2.1459486404287625e-05
118,S06_pastel,1337,scramble_B,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s1337_scramble_B_00001_.png,S06_pastel_s1337_scramble_B_00001_.png,1024,1760,2.0,1.833939790725708,0.916969895362854,0.038581986860795454,60.887915936952716,1142,3.576950788497925,4.098425388336182,0.5086499999999999,0.8896735512840823,11.78348358464441,41.65449142456055,3,22.0,7.147828759967165,1.8042789463299551,0.841975842315747,0.2942323577636644,0.9810193422387752,2.865588355282377,0.906845370205966,-2.951810817704376,1.0662058520962004e-05
119,S06_pastel,4242145,baseline,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s4242145_baseline_00001_.png,S06_pastel_s4242145_baseline_00001_.png,1024,1760,2.799999952316284,2.1327786445617676,0.7617066717438472,0.04653486772017045,56.858983050847456,1475,3.528820514678955,4.101771354675293,0.54915,0.8738146524260154,11.27658723996729,50.79133224487305,6,19.0,6.960487761394187,2.36400158909686,0.8328602653221047,0.30181262986138907,0.9812652898025587,2.8572222275882964,0.8488874955610796,-3.259302107435568,8.35706629134264e-06
120,S06_pastel,4242145,Block_1_pos,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s4242145_Block_1_pos_00001_.png,S06_pastel_s4242145_Block_1_pos_00001_.png,1024,1760,4.0,2.490428924560547,0.6226072311401367,0.07662409002130682,30.58582502768549,4515,3.5365853309631348,4.070226192474365,0.5750500000000001,0.8703434125565458,11.168578339914172,54.669227600097656,3,21.0,6.532113227276281,4.957165578264676,0.7731258711620268,0.28575950651652143,0.9687289519477503,2.7148295772064386,0.9566716974431818,-3.0720984939854685,1.599583127281456e-05
121,S06_pastel,4242145,Block_1_neg,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s4242145_Block_1_neg_00001_.png,S06_pastel_s4242145_Block_1_neg_00001_.png,1024,1760,2.0,1.6239748001098633,0.8119874000549316,0.039597389914772727,50.25633802816901,1420,3.6669235229492188,4.114919662475586,0.54185,0.8744525518737184,11.296549029531425,41.402347564697266,2,23.0,6.689896997926912,1.8756764558515895,0.7906081566582196,0.2877266945207368,0.9757499952864214,2.8003917029633203,0.9504755193536931,-2.9565763155546696,1.135792514879205e-05
122,S06_pastel,4242145,Block_6_pos,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s4242145_Block_6_pos_00001_.png,S06_pastel_s4242145_Block_6_pos_00001_.png,1024,1760,2.0,1.033991813659668,0.516995906829834,0.004052734375,52.54676258992806,139,3.6839163303375244,4.076388835906982,0.5902499999999999,0.779054889244142,8.671127252446109,26.96527862548828,1,1.0,2.7452660959367856,0.8879014938622173,0.9325876257804488,0.593189351583362,0.5903938547341178,2.4586856700508286,0.9797574129971591,-2.2896360629674173,0.00023369562788386672
123,S06_pastel,4242145,Block_6_neg,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s4242145_Block_6_neg_00001_.png,S06_pastel_s4242145_Block_6_neg_00001_.png,1024,1760,2.0,1.8317456245422363,0.9158728122711182,0.06514115767045454,37.87096774193548,3100,3.5723159313201904,3.9656589031219482,0.5173,0.8750518042463145,11.315333624790007,31.152629852294922,2,27.0,4.353550095898748,3.211495299228985,0.6266145200080087,0.29871972168229755,0.9705504370582683,2.50998369804127,0.8143266157670455,-1.9219984851022207,9.444523662199138e-05
124,S06_pastel,4242145,scramble_A,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s4242145_scramble_A_00001_.png,S06_pastel_s4242145_scramble_A_00001_.png,1024,1760,2.0,1.7363766431808472,0.8681883215904236,0.019449129971590907,55.462025316455694,632,3.4487695693969727,4.019456386566162,0.6617500000000001,0.7966068048110609,9.10353721624674,62.42885208129883,3,18.0,8.801374150588213,1.2673617825858077,0.8965607607857105,0.3733387504389247,0.9716358131371556,2.572918136889477,0.9462757457386364,-2.670167779191568,3.2731675286289386e-05
125,S06_pastel,4242145,scramble_B,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s4242145_scramble_B_00001_.png,S06_pastel_s4242145_scramble_B_00001_.png,1024,1760,2.0,1.7911181449890137,0.8955590724945068,0.03802878639914773,61.52333931777379,1114,3.584564447402954,4.098477840423584,0.5408499999999999,0.8625775291841533,10.930671420846531,41.63568878173828,4,22.0,6.964041677947847,1.7325387170696442,0.8417358343397441,0.2939005022980672,0.9816601787378576,2.860213288848279,0.9072770552201703,-2.9383386488963805,1.1010504078472793e-05
126,S07_comic,42,baseline,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s42_baseline_00001_.png,S07_comic_s42_baseline_00001_.png,1024,1760,2.799999952316284,2.2869019508361816,0.8167507106363895,0.10961747602982955,52.794494922501336,3742,3.0612919330596924,4.1283793449401855,0.5287000000000001,0.8931891990287819,11.898904059708455,59.51165008544922,5,19.0,7.277747705426925,12.569088155771109,0.7184775919740602,0.2891463767527085,0.9279069886687927,2.860008994629978,0.8700483842329545,-3.0919110645856716,2.9124741786437523e-05
127,S07_comic,42,Block_1_pos,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s42_Block_1_pos_00001_.png,S07_comic_s42_Block_1_pos_00001_.png,1024,1760,2.799999952316284,2.2019290924072266,0.7864032606806629,0.09596169211647727,34.024395042297854,5083,3.175602912902832,4.062204360961914,0.5414,0.8770860533067243,11.379333960994526,56.244510650634766,5,19.0,6.411030411059559,12.205442141713176,0.7601822622019276,0.28347548791673194,0.9384461410169338,2.643121718351165,0.9513954856178977,-2.917618915350564,3.451499186828524e-05
128,S07_comic,42,Block_1_neg,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s42_Block_1_neg_00001_.png,S07_comic_s42_Block_1_neg_00001_.png,1024,1760,2.799999952316284,1.9115009307861328,0.682678915478143,0.09737659801136364,47.74102285092492,3676,3.436612129211426,4.102565288543701,0.4985,0.8886190372243656,11.749082130384023,57.37200927734375,3,22.0,6.2303128683477835,6.637113638897146,0.7319116580493836,0.2791579336936829,0.9501011494570937,2.786903353220699,0.950589266690341,-3.0839911493145067,2.1014161049845876e-05
129,S07_comic,42,Block_6_pos,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s42_Block_6_pos_00001_.png,S07_comic_s42_Block_6_pos_00001_.png,1024,1760,2.0,1.02961003780365,0.514805018901825,0.004056063565340909,52.214285714285715,140,3.617466688156128,4.0677170753479,0.622,0.8082884626425362,9.403213342802138,28.197580337524414,1,1.0,2.5426351979786643,0.8771986123504959,0.9383178967523169,0.5069708989873187,0.7021543826786079,2.3018536598596824,0.9814375443892045,-2.260603026989614,0.0002697762558662409
