run_id,prompt_id,seed,condition,cond_tag,angle_label,angle_deg,image_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
10,P01,1618033,B6_pos,B6_pos_low,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B6_pos_low_00001_.png,P01_s1618033_B6_pos_low_00001_.png,,52e5b19ca6,P01_s1618033_B6_pos_low_00001_.png,1024,1280,59.575,23.462,86.81,0.0717,#a18d66,3.0646,2.8915,102.25,0.3609,#0d0b04,0.9446,79.9294,6.1187,6,0.4558,56.3496,2.4045,2.6602,107.12,0.3525,#0a0903,29.2075,19.915,65.28,0.1032,#5a3f29,38.0796,34.9271,48.3,0.0515,#864a30,50.6181,53.1016,50.99,0.0318,#ba5f33,68.4326,59.0098,69.48,0.0251,#e29740,82.3339,44.9757,89.37,0.0119,#e9ca78
11,P01,1618033,B6_pos,B6_pos_mid,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B6_pos_mid_00001_.png,P01_s1618033_B6_pos_mid_00001_.png,,52e5b19ca6,P01_s1618033_B6_pos_mid_00001_.png,1024,1280,57.9821,61.0552,63.83,0.0375,#cb7727,3.6317,4.7267,107.35,0.3106,#0e0e02,0.9745,73.1844,12.1706,5,0.4111,55.8685,3.1439,4.547,107.01,0.299,#0d0c01,28.2893,16.3985,92.17,0.0957,#4b4229,36.2103,30.2229,78.05,0.1121,#6c5025,36.6539,49.3949,52.13,0.033,#8d4016,43.6545,38.7095,65.7,0.0415,#8e5c2c,76.3284,60.4156,81.99,0.0203,#e9b449
12,P01,1618033,baseline,baseline,none,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_baseline_00001_.png,P01_s1618033_baseline_00001_.png,,52e5b19ca6,P01_s1618033_baseline_00001_.png,1024,1280,57.0496,10.2626,66.78,0.0788,#978679,2.479,0.8522,8.61,0.3601,#0b0809,0.9372,80.679,6.207,6,0.4402,47.6897,1.7518,0.5242,359.44,0.3501,#080606,28.0497,11.7683,36.46,0.0901,#543d38,35.5249,28.1762,31.66,0.0333,#7d433d,51.8948,46.9696,42.23,0.0311,#be6247,69.6926,48.2139,61.79,0.0249,#e5995e,82.4309,18.6471,89.3,0.0118,#dbccaa
13,P01,1618033,scrA_neg,scrA_neg_high,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrA_neg_high_00001_.png,P01_s1618033_scrA_neg_high_00001_.png,,52e5b19ca6,P01_s1618033_scrA_neg_high_00001_.png,1024,1280,57.2196,42.184,45.3,0.0383,#c67457,3.162,1.1595,358.3,0.2679,#0e0b0c,0.9768,82.5689,13.2393,4,0.3138,44.1484,2.6552,0.9354,347.91,0.2508,#0c090a,39.8793,16.1486,51.57,0.063,#75584a,41.2568,27.8888,30.73,0.0433,#8c514b,64.4504,10.9189,241.37,0.0184,#88a0ad,67.8132,45.0838,56.68,0.0128,#e19362,85.2241,30.2693,82.71,0.0085,#f0d19c
14,P01,1618033,scrA_neg,scrA_neg_low,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrA_neg_low_00001_.png,P01_s1618033_scrA_neg_low_00001_.png,,52e5b19ca6,P01_s1618033_scrA_neg_low_00001_.png,1024,1280,61.2866,46.6855,52.11,0.0353,#d37f54,3.051,1.0253,2.27,0.3467,#0d0a0b,0.9799,86.4814,13.0418,5,0.3748,46.5851,2.0276,0.6695,350.26,0.3126,#090708,40.4819,23.5816,31.13,0.0434,#84524c,49.0783,13.5405,64.62,0.0622,#867160,49.4468,38.725,39.48,0.0245,#ae604d,72.8861,47.2546,65.74,0.0119,#eaa464,88.5089,30.3333,86.13,0.0068,#f7dba5
15,P01,1618033,scrA_neg,scrA_neg_mid,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrA_neg_mid_00001_.png,P01_s1618033_scrA_neg_mid_00001_.png,,52e5b19ca6,P01_s1618033_scrA_neg_mid_00001_.png,1024,1280,56.96,43.2834,47.68,0.0394,#c57352,3.6234,1.2305,10.68,0.3135,#100c0d,0.9747,81.4,9.1834,6,0.3525,45.2421,2.5445,0.8612,4.22,0.2839,#0c0909,36.3484,22.9805,30.91,0.0455,#794944,45.7175,14.8425,58.43,0.0686,#816758,54.1821,18.1653,255.99,0.0105,#6685a0,68.1049,46.1034,58.7,0.0143,#e19460,83.9445,33.0438,80.11,0.0099,#f1cc94
16,P01,1618033,scrA_pos,scrA_pos_high,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrA_pos_high_00001_.png,P01_s1618033_scrA_pos_high_00001_.png,,52e5b19ca6,P01_s1618033_scrA_pos_high_00001_.png,1024,1280,58.1218,12.1981,68.19,0.0706,#9b8878,2.2992,1.2225,351.9,0.3648,#0b0709,0.9597,87.7977,9.1482,6,0.3912,57.9,1.5775,0.8912,347.45,0.3501,#080506,35.703,37.98,29.25,0.0337,#8a3c38,49.136,23.3962,37.23,0.0411,#9a685e,55.8813,58.7911,43.42,0.0345,#d66442,74.717,51.832,66.41,0.0171,#f3a860,89.3753,26.9925,84.72,0.0102,#f8ddae
17,P01,1618033,scrA_pos,scrA_pos_low,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrA_pos_low_00001_.png,P01_s1618033_scrA_pos_low_00001_.png,,52e5b19ca6,P01_s1618033_scrA_pos_low_00001_.png,1024,1280,61.7565,50.3174,51.76,0.036,#d97e50,2.4793,0.9754,21.25,0.3571,#0c0808,0.9821,88.2727,7.2585,6,0.4669,50.4904,1.7186,0.5294,13.65,0.3318,#080606,29.4312,12.5469,40.76,0.1351,#584039,36.4572,30.8289,31.93,0.034,#83443d,51.5077,51.0198,41.1,0.0132,#c25d43,75.0782,44.9399,68.05,0.019,#ecac6c,89.9913,15.4168,94.95,0.008,#ece2c5
18,P01,1618033,scrA_pos,scrA_pos_mid,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrA_pos_mid_00001_.png,P01_s1618033_scrA_pos_mid_00001_.png,,52e5b19ca6,P01_s1618033_scrA_pos_mid_00001_.png,1024,1280,73.9418,47.5547,64.68,0.0323,#efa667,2.1782,0.9899,10.01,0.3475,#0b0708,0.9884,82.8368,12.0576,6,0.3923,52.0625,1.699,0.6902,359.15,0.3317,#080606,37.8251,41.6941,31.07,0.025,#943e38,45.4525,23.7034,35.83,0.0529,#915f55,53.3555,14.7543,65.02,0.0606,#937b69,59.2638,52.7527,47.99,0.0258,#d7744b,84.5359,39.8117,81.55,0.0119,#f6cd89
19,P01,1618033,scrB_neg,scrB_neg_high,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrB_neg_high_00001_.png,P01_s1618033_scrB_neg_high_00001_.png,,52e5b19ca6,P01_s1618033_scrB_neg_high_00001_.png,1024,1280,69.4045,74.8072,75.4,0.043,#e59a0b,12.2205,19.4052,116.38,0.1799,#1d2301,0.9707,67.5264,10.2737,5,0.3537,59.7788,11.6054,18.8867,117.44,0.1692,#1b2101,42.0427,45.9242,75.24,0.1499,#865b14,45.0312,62.6019,54.01,0.0268,#af4e10,50.5543,35.6944,89.68,0.1845,#8b763a,59.1201,75.732,59.53,0.0355,#df7009,79.1319,78.6655,85.74,0.0067,#f1bd16
