recovered_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex,bench,prompt_id,seed,condition,output_folder
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s4242145_Block_3_neg_00001_.png,S08_papercraft_s4242145_Block_3_neg_00001_.png,,,,1024,1280,87.0248,3.4998,93.53,0.1974,#dddad3,13.6288,1.9741,46.45,0.187,#262221,0.8251,75.759,2.0911,6,0.1881,67.2507,6.8028,1.6124,50.33,0.1287,#171513,22.1788,44.3237,32.03,0.0579,#6a1314,38.9763,33.614,56.53,0.0429,#834f2f,50.6875,68.8631,33.57,0.0331,#d8433b,64.8879,45.128,76.38,0.0594,#c6954e,82.5618,16.4291,76.69,0.0364,#e1cab0,rotations_triangolo,S08_papercraft,4242145,Block_3_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s4242145_scramble_D_00001_.png,S08_papercraft_s4242145_scramble_D_00001_.png,,,,1024,1280,86.666,8.9988,76.19,0.1626,#e4d7c9,7.6229,4.6026,33.52,0.1097,#1d1513,0.8835,78.1679,5.2088,6,0.2525,60.6714,6.6885,4.2211,32.96,0.1108,#1b1311,22.243,17.9835,41.23,0.077,#4d2d24,40.0248,64.8925,34.47,0.0481,#b22a25,60.3731,39.1906,63.18,0.0427,#c08554,79.1645,17.0013,238.57,0.1417,#a1cadf,84.8564,21.4741,80.29,0.0405,#ead0ac,rotations_triangolo,S08_papercraft,4242145,scramble_D,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s4242145_scramble_C_00001_.png,S08_papercraft_s4242145_scramble_C_00001_.png,,,,1024,1280,84.6613,12.8357,79.71,0.1461,#e2d1bc,10.9878,3.0124,28.78,0.1586,#221c1c,0.9087,80.68,8.3911,6,0.2715,69.4367,9.5384,1.979,344.46,0.1372,#1d1a1b,22.4722,46.8002,31.24,0.0279,#6d0f14,41.0944,30.6555,63.49,0.0674,#825834,46.9863,71.4157,33.37,0.0319,#cf3431,77.8385,15.985,236.4,0.1343,#9fc6d9,90.2185,26.0652,87.79,0.0241,#f8e1b1,rotations_triangolo,S08_papercraft,4242145,scramble_C,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s42_Block_3_neg_00001_.png,S08_papercraft_s42_Block_3_neg_00001_.png,,,,1024,1280,86.7362,8.4581,85.14,0.1474,#e1d8c9,11.072,1.224,354.64,0.1835,#1f1d1e,0.842,74.8371,3.0622,6,0.3022,70.7334,5.0459,1.195,7.81,0.1089,#131011,22.8575,46.361,32.79,0.063,#6d1213,33.1427,26.9375,67.63,0.0562,#684727,49.7167,71.9284,32.96,0.0279,#d93b37,67.4704,48.7155,70.69,0.0417,#d69851,79.883,10.6199,236.32,0.1933,#b1cad6,rotations_triangolo,S08_papercraft,42,Block_3_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s42_Block_3_pos_00001_.png,S08_papercraft_s42_Block_3_pos_00001_.png,,,,1024,1280,84.7361,6.8696,83.22,0.1633,#dbd3c7,15.7032,3.5833,26.19,0.1486,#2d2625,0.8622,83.4771,8.2347,5,0.2866,60.0527,7.2514,2.6828,39.55,0.0697,#1a1514,28.6537,48.4862,30.12,0.0398,#811e21,54.8176,62.7355,34.43,0.0255,#de5749,57.5578,36.0574,67.88,0.0864,#b28050,78.1724,12.9861,239.32,0.2002,#a8c6d6,90.7285,19.4944,82.32,0.0195,#f8e1c0,rotations_triangolo,S08_papercraft,42,Block_3_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s42_scramble_C_00001_.png,S08_papercraft_s42_scramble_C_00001_.png,,,,1024,1280,84.9373,11.2053,78.79,0.1655,#e1d2c0,8.7004,3.8944,10.92,0.1378,#1e1718,0.8881,77.9562,2.4645,6,0.2676,70.0382,7.4872,3.0366,341.33,0.1276,#1a1518,24.7976,46.9871,33.25,0.0423,#731716,43.1391,73.0748,33.88,0.0273,#c42526,59.9328,47.8067,66.57,0.0422,#c38242,73.7649,16.857,240.84,0.14,#94bbd0,85.4435,26.7598,80.84,0.0372,#f0d1a4,rotations_triangolo,S08_papercraft,42,scramble_C,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s42_scramble_D_00001_.png,S08_papercraft_s42_scramble_D_00001_.png,,,,1024,1280,87.3962,8.6413,79.09,0.154,#e5d9cb,13.0473,3.4548,13.24,0.1278,#272021,0.8742,74.2579,8.5849,5,0.3143,63.8114,6.8199,4.8953,32.74,0.0895,#1c1311,23.0676,30.593,43.19,0.0499,#5b2819,39.8775,68.7066,35.08,0.0557,#b52420,47.1714,33.1693,88.11,0.0365,#836e37,51.9434,49.6722,57.27,0.0511,#b66834,81.0778,12.5502,239.01,0.2248,#b1cedd,rotations_triangolo,S08_papercraft,42,scramble_D,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s1337_Block_3_neg_00001_.png,S09_fresco_s1337_Block_3_neg_00001_.png,,,,1024,1280,75.5276,21.4431,85.94,0.0776,#ccb893,25.3075,8.8487,53.33,0.1113,#483932,0.9222,55.8724,6.2687,5,0.2751,36.0005,18.157,7.5024,42.52,0.0478,#372925,32.9376,39.4628,36.58,0.0351,#81362a,53.633,32.9056,75.41,0.0454,#9e7a49,56.4454,16.5956,76.2,0.179,#99846c,67.6411,3.4624,256.74,0.091,#a0a5ab,74.0294,4.5506,115.63,0.0961,#b6b7ae,rotations_triangolo,S09_fresco,1337,Block_3_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s1337_Block_3_pos_00001_.png,S09_fresco_s1337_Block_3_pos_00001_.png,,,,1024,1280,80.0528,20.8171,85.12,0.074,#d9c4a0,15.4983,6.1089,35.68,0.0772,#302422,0.9357,63.091,7.5624,5,0.2492,48.4542,11.716,5.2035,35.11,0.0537,#261d1b,24.3725,38.2229,34.17,0.0246,#69221b,45.4188,50.4641,33.98,0.0199,#b34a3f,45.6064,27.5735,70.6,0.0783,#886541,65.332,11.7362,259.99,0.1167,#8fa1b3,74.807,2.0099,172.98,0.1325,#b4b9b8,rotations_triangolo,S09_fresco,1337,Block_3_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s1337_scramble_D_00001_.png,S09_fresco_s1337_scramble_D_00001_.png,,,,1024,1280,80.8233,24.039,80.8,0.0693,#e0c59d,17.8303,7.9577,48.04,0.102,#362923,0.939,64.9546,6.5443,5,0.1735,48.457,15.1129,6.8912,43.29,0.081,#2f231f,29.5695,35.6278,40.15,0.0637,#733223,45.3173,55.3482,37.04,0.0146,#b64736,45.4958,33.2523,78.47,0.0558,#866635,64.0734,10.7016,262.22,0.0925,#8e9dae,80.0675,11.0977,90.07,0.0601,#cfc6b2,rotations_triangolo,S09_fresco,1337,scramble_D,rotations_block1_vs_block6
