set_id,condition,folder,image_file,preset_file,model_strength,clip_strength,prompt_key,prompt_sha1,seed,barnacles,comfy_image_file,comfy_folder
A5,"stock model, full prompt",A5_baseline_full_prompt,106.png,,0.0,0.0,full,30de058455,106,0,G1_baseline_exact_seed106_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,107.png,,0.0,0.0,full,30de058455,107,0,G1_baseline_exact_seed107_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,108.png,,0.0,0.0,full,30de058455,108,0,G1_baseline_exact_seed108_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,109.png,,0.0,0.0,full,30de058455,109,0,G1_baseline_exact_seed109_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,110.png,,0.0,0.0,full,30de058455,110,0,G1_baseline_exact_seed110_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,201.png,,0.0,0.0,full,30de058455,201,0,G1_baseline_exact_seed201_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,202.png,,0.0,0.0,full,30de058455,202,0,G1_baseline_exact_seed202_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,203.png,,0.0,0.0,full,30de058455,203,0,G1_baseline_exact_seed203_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,204.png,,0.0,0.0,full,30de058455,204,0,G1_baseline_exact_seed204_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,205.png,,0.0,0.0,full,30de058455,205,0,G1_baseline_exact_seed205_00001_.png,0_baseline_exact
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,1337.png,,0.0,0.0,matched_neutral,3684e0237c,1337,0,G1_baseline_matched_neutral_seed1337_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,42.png,,0.0,0.0,matched_neutral,3684e0237c,42,0,G1_baseline_matched_neutral_seed42_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,4242145.png,,0.0,0.0,matched_neutral,3684e0237c,4242145,0,G1_baseline_matched_neutral_seed4242145_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,777.png,,0.0,0.0,matched_neutral,3684e0237c,777,0,G1_baseline_matched_neutral_seed777_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,9999.png,,0.0,0.0,matched_neutral,3684e0237c,9999,0,G1_baseline_matched_neutral_seed9999_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,101.png,,0.0,0.0,matched_neutral,3684e0237c,101,0,G1_baseline_matched_neutral_seed101_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,102.png,,0.0,0.0,matched_neutral,3684e0237c,102,0,G1_baseline_matched_neutral_seed102_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,103.png,,0.0,0.0,matched_neutral,3684e0237c,103,0,G1_baseline_matched_neutral_seed103_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,104.png,,0.0,0.0,matched_neutral,3684e0237c,104,0,G1_baseline_matched_neutral_seed104_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,105.png,,0.0,0.0,matched_neutral,3684e0237c,105,0,G1_baseline_matched_neutral_seed105_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,106.png,,0.0,0.0,matched_neutral,3684e0237c,106,0,G1_baseline_matched_neutral_seed106_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,107.png,,0.0,0.0,matched_neutral,3684e0237c,107,0,G1_baseline_matched_neutral_seed107_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,108.png,,0.0,0.0,matched_neutral,3684e0237c,108,0,G1_baseline_matched_neutral_seed108_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,109.png,,0.0,0.0,matched_neutral,3684e0237c,109,0,G1_baseline_matched_neutral_seed109_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,110.png,,0.0,0.0,matched_neutral,3684e0237c,110,0,G1_baseline_matched_neutral_seed110_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,201.png,,0.0,0.0,matched_neutral,3684e0237c,201,0,G1_baseline_matched_neutral_seed201_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,202.png,,0.0,0.0,matched_neutral,3684e0237c,202,0,G1_baseline_matched_neutral_seed202_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,203.png,,0.0,0.0,matched_neutral,3684e0237c,203,0,G1_baseline_matched_neutral_seed203_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,204.png,,0.0,0.0,matched_neutral,3684e0237c,204,0,G1_baseline_matched_neutral_seed204_00001_.png,0_baseline_matched_neutral
A6,"stock model, matched-neutral prompt",A6_baseline_matched_neutral,205.png,,0.0,0.0,matched_neutral,3684e0237c,205,0,G1_baseline_matched_neutral_seed205_00001_.png,0_baseline_matched_neutral
A7,"randsign, full prompt (same Frobenius displacement)",A7_randsign_full_prompt,1337.png,Arthemy_Bench_RANDSIGN.json,1.0,1.0,full,30de058455,1337,0,G1_randsign_exact_seed1337_00001_.png,22_randsign_exact
A7,"randsign, full prompt (same Frobenius displacement)",A7_randsign_full_prompt,42.png,Arthemy_Bench_RANDSIGN.json,1.0,1.0,full,30de058455,42,0,G1_randsign_exact_seed42_00001_.png,22_randsign_exact
A7,"randsign, full prompt (same Frobenius displacement)",A7_randsign_full_prompt,4242145.png,Arthemy_Bench_RANDSIGN.json,1.0,1.0,full,30de058455,4242145,0,G1_randsign_exact_seed4242145_00001_.png,22_randsign_exact
A7,"randsign, full prompt (same Frobenius displacement)",A7_randsign_full_prompt,777.png,Arthemy_Bench_RANDSIGN.json,1.0,1.0,full,30de058455,777,0,G1_randsign_exact_seed777_00001_.png,22_randsign_exact
A7,"randsign, full prompt (same Frobenius displacement)",A7_randsign_full_prompt,9999.png,Arthemy_Bench_RANDSIGN.json,1.0,1.0,full,30de058455,9999,0,G1_randsign_exact_seed9999_00001_.png,22_randsign_exact
A7,"randsign, full prompt (same Frobenius displacement)",A7_randsign_full_prompt,101.png,Arthemy_Bench_RANDSIGN.json,1.0,1.0,full,30de058455,101,0,G1_randsign_exact_seed101_00001_.png,22_randsign_exact
