view_order,hash_id,prompt_id,cond_name,seed,is_duplicate,orig_hash_id,score
48,35064c0188c3,S05_pencil,blockshuf_neg_1x,1337,0,35064c0188c3,SPENTO
49,35e0d77fa503,S05_pencil,baseline,9999,1,f7e7adc29fb7,SPENTO
50,37a919e3adf6,S03_cyberpunk,baseline,9999,0,37a919e3adf6,ACCESO
51,37b186843b00,S02_linocut,baseline,42,0,37b186843b00,SPENTO
52,396d6d3960e9,S07_comic,baseline,9999,0,396d6d3960e9,SPENTO
53,3c18825eb3ee,S07_comic,preset_pos_2x,42,0,3c18825eb3ee,SPENTO
54,3d2388463d40,S09_fresco,blockshuf_neg_2x,9999,0,3d2388463d40,SPENTO
55,3d7d6c72e361,S06_pastel,baseline,4242145,0,3d7d6c72e361,SPENTO
56,3e314ad5dc06,S05_pencil,blockshuf_neg_2x,4242145,0,3e314ad5dc06,SPENTO
57,3ea09121810f,S03_cyberpunk,blockshuf_neg_2x,9999,0,3ea09121810f,ACCESO
58,3fa0840c66c9,S09_fresco,baseline,777,0,3fa0840c66c9,SPENTO
59,40af44b7ef2d,S04_gouache,blockshuf_neg_1x,4242145,0,40af44b7ef2d,SPENTO
60,410a9b2d5916,S02_linocut,blockshuf_neg_1x,42,0,410a9b2d5916,SPENTO
61,413a7ca48513,S04_gouache,blockshuf_neg_2x,1337,0,413a7ca48513,SPENTO
62,41b70a4545f2,S08_papercraft,baseline,777,0,41b70a4545f2,SPENTO
63,44280e73fb2a,S07_comic,blockshuf_neg_1x,42,0,44280e73fb2a,SPENTO
64,47a6381f0097,S06_pastel,baseline,1337,0,47a6381f0097,SPENTO
65,483bae71f3c4,S02_linocut,blockshuf_neg_2x,1337,0,483bae71f3c4,SPENTO
66,4996f44d6860,S01_oil,blockshuf_neg_2x,4242145,0,4996f44d6860,SPENTO
67,499d925a2ebf,S10_synthwave,preset_pos_2x,9999,0,499d925a2ebf,SPENTO
68,4bdbfd375e1a,S10_synthwave,preset_pos_2x,42,0,4bdbfd375e1a,SPENTO
69,4d020f77dd06,S08_papercraft,blockshuf_neg_2x,4242145,0,4d020f77dd06,SPENTO
70,4d8335e8e87e,S04_gouache,preset_pos_2x,9999,0,4d8335e8e87e,SPENTO
71,4df0dd1c570d,S03_cyberpunk,blockshuf_neg_1x,777,0,4df0dd1c570d,SPENTO
72,4e10c5695ca5,S08_papercraft,baseline,1337,1,549fd90b33f0,SPENTO
73,52b0675e212b,S07_comic,preset_pos_2x,9999,0,52b0675e212b,SPENTO
74,549fd90b33f0,S08_papercraft,baseline,1337,0,549fd90b33f0,SPENTO
75,5522dcc6ea2a,S10_synthwave,blockshuf_neg_2x,4242145,0,5522dcc6ea2a,SPENTO
76,55a872aa7299,S04_gouache,blockshuf_neg_2x,9999,0,55a872aa7299,SPENTO
77,56ce19578c63,S06_pastel,preset_pos_2x,4242145,0,56ce19578c63,SPENTO
78,598135f7fa31,S09_fresco,baseline,9999,1,12212d417911,SPENTO
79,5ad228d9ce12,S01_oil,blockshuf_neg_1x,777,0,5ad228d9ce12,SPENTO
80,5b396bb00a9e,S02_linocut,blockshuf_neg_1x,4242145,0,5b396bb00a9e,SPENTO
81,5bdd60627d55,S05_pencil,preset_pos_2x,777,0,5bdd60627d55,SPENTO
82,5c1c57c8c90a,S04_gouache,blockshuf_neg_1x,42,0,5c1c57c8c90a,SPENTO
83,5c264918b874,S06_pastel,blockshuf_neg_2x,4242145,0,5c264918b874,SPENTO
84,5d07ec9a1866,S10_synthwave,baseline,777,0,5d07ec9a1866,SPENTO
85,5ddf8cbe2ba1,S02_linocut,preset_pos_2x,9999,0,5ddf8cbe2ba1,SPENTO
86,5e605b1ae582,S04_gouache,baseline,9999,0,5e605b1ae582,SPENTO
87,6147ea84f0db,S02_linocut,preset_pos_2x,42,0,6147ea84f0db,SPENTO
88,62285a4b2b0a,S01_oil,baseline,42,1,83057136d13a,SPENTO
89,65633c1ba38d,S07_comic,preset_pos_2x,777,0,65633c1ba38d,SPENTO
90,65a6094367b7,S10_synthwave,baseline,777,1,5d07ec9a1866,SPENTO
91,65b13599caa4,S04_gouache,blockshuf_neg_1x,9999,0,65b13599caa4,SPENTO
92,67596b49cb72,S09_fresco,blockshuf_neg_1x,4242145,0,67596b49cb72,SPENTO
93,69bd7e51caf3,S09_fresco,baseline,777,1,3fa0840c66c9,SPENTO
94,6b5b8c5dc5d8,S02_linocut,baseline,777,1,0d485d19432f,SPENTO
95,6b5fd4c86175,S01_oil,baseline,1337,0,6b5fd4c86175,SPENTO
96,6b65c1fbf6ab,S06_pastel,baseline,1337,1,47a6381f0097,SPENTO
97,6b6c555e5189,S10_synthwave,blockshuf_neg_2x,1337,0,6b6c555e5189,SPENTO
98,6b8da525c779,S02_linocut,baseline,9999,0,6b8da525c779,SPENTO
99,6d4a6fefa546,S07_comic,preset_pos_2x,4242145,0,6d4a6fefa546,SPENTO
100,6dc34c64cc89,S09_fresco,blockshuf_neg_2x,777,0,6dc34c64cc89,SPENTO
101,73752a090164,S03_cyberpunk,blockshuf_neg_1x,1337,0,73752a090164,ACCESO
102,74815f2c03a5,S01_oil,blockshuf_neg_2x,42,0,74815f2c03a5,SPENTO
103,764e8c7b8b3c,S05_pencil,preset_pos_2x,9999,0,764e8c7b8b3c,SPENTO
104,76b44413a68f,S06_pastel,blockshuf_neg_2x,1337,0,76b44413a68f,SPENTO
105,7971ee26a821,S10_synthwave,baseline,42,0,7971ee26a821,SPENTO
106,7af42ffa34be,S08_papercraft,preset_pos_2x,4242145,0,7af42ffa34be,SPENTO
107,7d2948cac415,S05_pencil,blockshuf_neg_1x,9999,0,7d2948cac415,SPENTO
108,7da1760a3163,S07_comic,baseline,9999,1,396d6d3960e9,SPENTO
109,7e0813835760,S03_cyberpunk,baseline,1337,1,22bfe75ef216,ACCESO
110,7e703830a251,S02_linocut,baseline,9999,1,6b8da525c779,SPENTO
111,7ea86df04f74,S05_pencil,blockshuf_neg_2x,42,0,7ea86df04f74,SPENTO
