prompt_id,seed,condition,cond_tag,block_name,angle_label,angle_deg,image_path,run_id,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
P02,2718281,B2_neg,B2_neg_high,B2,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B2_neg_high_00001_.png,,P02_s2718281_B2_neg_high_00001_.png,1024,1280,2.799999952316284,1.988234043121338,0.7100835989217009,0.14000015258789061,53.89162995594714,3405,2.956850290298462,3.85758113861084,0.44815,0.9464324906836498,13.791715006566175,32.06830596923828,5,15.0,6.331208741524238,17.790687740448945,0.6740558463457647,0.15914223994718402,0.8825065538492554,3.153306248057034,0.8269050598144532,-3.385610685891206,1.2819024336752701e-05
P02,2718281,B2_neg,B2_neg_low,B2,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B2_neg_low_00001_.png,,P02_s2718281_B2_neg_low_00001_.png,1024,1280,2.799999952316284,2.2698233127593994,0.8106511969336645,0.14368972778320313,51.599178082191784,3650,2.9671592712402344,3.878207206726074,0.44755000000000006,0.9443279401735205,13.711473951481679,31.916759490966797,4,15.0,6.731104919513586,18.975282171109967,0.6591365780670461,0.15448036489036315,0.8803852764722208,3.169965934952689,0.821405029296875,-3.3408907274037314,1.596217218358792e-05
P02,2718281,B2_neg,B2_neg_mid,B2,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B2_neg_mid_00001_.png,,P02_s2718281_B2_neg_mid_00001_.png,1024,1280,2.799999952316284,2.153571367263794,0.7691326442638916,0.14749526977539062,49.583226468325215,3899,2.944430112838745,3.878051996231079,0.4558,0.9402027968598617,13.555544762557595,32.565738677978516,4,15.0,6.423222663364707,18.934050542476488,0.6605868800557713,0.16783857964081228,0.8745959005310383,3.1637634754994743,0.8239151000976562,-3.3425241081750494,1.6216008716143125e-05
P02,2718281,B2_pos,B2_pos_high,B2,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B2_pos_high_00001_.png,,P02_s2718281_B2_pos_high_00001_.png,1024,1280,2.799999952316284,2.245067596435547,0.8018098695245789,0.13769760131835937,48.67394822006472,3708,2.9220054149627686,3.8598482608795166,0.4492,0.954806825842886,14.115685660457945,31.732336044311523,4,15.0,6.619578003200499,17.718807378670718,0.6779561191769388,0.16590844328770463,0.8926704003752282,3.162343422560264,0.8164260864257813,-3.3342715541260985,1.5049542375453348e-05
P02,2718281,B2_pos,B2_pos_low,B2,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B2_pos_low_00001_.png,,P02_s2718281_B2_pos_low_00001_.png,1024,1280,2.799999952316284,2.3241443634033203,0.8300515724940227,0.14005813598632813,53.661794796843026,3421,2.9405081272125244,3.8844149112701416,0.4395,0.9506289699415464,13.953120305855936,33.00674057006836,5,15.0,6.598717757907008,19.698888646291522,0.6680274407802222,0.1619737441093586,0.8805186616972406,3.1589865504372154,0.8178642272949218,-3.333422690847043,1.659377698794892e-05
P02,2718281,B2_pos,B2_pos_mid,B2,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B2_pos_mid_00001_.png,,P02_s2718281_B2_pos_mid_00001_.png,1024,1280,2.799999952316284,2.272298812866211,0.811535304129725,0.14349822998046874,55.2381791483113,3405,2.944201946258545,3.890994071960449,0.4689,0.9264932255867946,13.049954778237016,32.59062194824219,4,15.0,6.6381925250778915,19.213884001477616,0.6621554875298161,0.15811911171224186,0.8792724542208945,3.1702031077486743,0.8184135437011719,-3.34346152651951,1.5921400136743325e-05
P02,2718281,B3_neg,B3_neg_high,B3,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B3_neg_high_00001_.png,,P02_s2718281_B3_neg_high_00001_.png,1024,1280,2.799999952316284,1.911568522453308,0.6827030553596881,0.14774703979492188,57.2266548463357,3384,2.94378924369812,3.8553473949432373,0.43635,0.9494038078790763,13.905803772430746,35.71462631225586,4,16.0,6.115453785288546,18.918463403680068,0.6498195668345641,0.15581958183172706,0.8729210483824617,3.1676874794145653,0.8322784423828125,-3.435612171254428,1.3326224546306981e-05
P02,2718281,B3_neg,B3_neg_low,B3,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B3_neg_low_00001_.png,,P02_s2718281_B3_neg_low_00001_.png,1024,1280,2.799999952316284,2.144542932510376,0.7659082032256161,0.1501861572265625,53.46333514394351,3682,2.9625604152679443,3.8589773178100586,0.48500000000000004,0.9300349914023432,13.178734772509912,32.459049224853516,4,15.0,6.257945680885887,18.730768518367448,0.6475347388631287,0.1487691643627194,0.879451196979668,3.1711902049182767,0.8228347778320313,-3.3562565961967836,1.4989107810503336e-05
P02,2718281,B3_neg,B3_neg_mid,B3,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B3_neg_mid_00001_.png,,P02_s2718281_B3_neg_mid_00001_.png,1024,1280,2.799999952316284,2.0006263256073,0.7145094141706299,0.148748779296875,57.75118483412322,3376,2.963635206222534,3.873058319091797,0.42380000000000007,0.9547918485787174,14.115099507577252,33.82341003417969,5,16.0,6.290562164935698,18.992930330506738,0.6483472482848989,0.15126236979235919,0.876201491182064,3.175517141717764,0.8269500732421875,-3.3948955686214086,1.4048351311898902e-05
P02,2718281,B3_pos,B3_pos_high,B3,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B3_pos_high_00001_.png,,P02_s2718281_B3_pos_high_00001_.png,1024,1280,2.799999952316284,2.634481191635132,0.9408861558928857,0.13065261840820314,51.53445681613,3323,2.9155256748199463,3.910099506378174,0.46399999999999997,0.9391270078075551,13.515172599404863,32.24777603149414,3,14.0,6.836437303157251,18.48540440500094,0.6893920701164353,0.16886244679891377,0.8924822518104867,3.1573662180136366,0.8157844543457031,-3.330568601690665,1.6643290515944817e-05
