run_idx,prompt_id,seed,condition,node_type,angle,d_target,image_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
83,S04_gouache,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s4242145_scramble_B_00001_.png,S04_gouache_s4242145_scramble_B_00001_.png,,,,1024,1760,82.3966,13.1521,83.43,0.094,#d6cbb7,14.215,6.1119,255.81,0.1241,#11192a,0.953,68.2051,4.6449,6,0.166,73.3424,12.2373,7.607,260.17,0.109,#10192a,21.7404,34.9778,27.52,0.0354,#68211f,40.8769,51.3607,40.74,0.0322,#48473b,50.3959,80.9494,35.69,0.0127,#6354d1,60.9614,50.0831,68.52,0.057,#bc3e2b,80.4423,30.9982,72.92,0.031,#ebc091
84,S05_pencil,,,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s42_baseline_00001_.png,S05_pencil_s42_baseline_00001_.png,,,,1024,1760,88.102,5.6466,85.37,0.3383,#dfd9d0,17.303,1.2686,41.78,0.1283,#0f172a,0.5979,67.8084,5.0959,6,0.1477,72.7395,11.4868,1.0939,48.19,0.0987,#0f172a,34.8933,50.1777,31.54,0.0166,#762827,47.1931,73.8335,36.16,0.0208,#6350cd,59.5167,37.3111,30.06,0.0134,#c8342a,70.5937,18.2285,83.42,0.049,#b3ada5,79.2952,29.8247,85.28,0.0411,#d1b88c
85,S05_pencil,,,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s42_Block_1_pos_00001_.png,S05_pencil_s42_Block_1_pos_00001_.png,,,,1024,1760,90.503,3.2554,243.43,0.338,#e3e6e6,16.3206,4.023,354.77,0.0751,#121829,0.6176,78.3227,8.5629,5,0.1726,68.1459,11.7517,2.7639,347.52,0.08,#101729,39.0627,41.7556,13.66,0.0233,#963b4e,40.4311,70.9097,36.57,0.0377,#b7251d,53.6407,28.9024,91.98,0.0486,#6056d1,69.9152,50.1575,86.42,0.0543,#c4a24b,90.0744,13.6437,91.06,0.0926,#e8dbbe
86,S05_pencil,,,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s42_Block_1_neg_00001_.png,S05_pencil_s42_Block_1_neg_00001_.png,,,,1024,1760,83.3967,16.9649,84.89,0.1391,#daccb2,14.0534,1.267,34.25,0.063,#101729,0.8469,66.1565,5.3942,6,0.265,60.9549,11.9138,0.4737,2.1,0.0571,#0f172a,24.275,40.6276,31.95,0.0325,#6c1e1b,44.3406,61.4286,36.37,0.0169,#704ed2,63.0808,12.4579,86.81,0.1432,#b93c2e,69.6119,29.2333,74.34,0.0356,#cba87c,78.0703,5.1855,141.76,0.1218,#afbdb8
87,S05_pencil,,,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s42_Block_6_pos_00001_.png,S05_pencil_s42_Block_6_pos_00001_.png,,,,1024,1760,15.3833,24.1874,69.78,0.0462,#371e00,1.883,5.12,33.64,0.1396,#140400,0.7026,20.3343,4.6145,2,0.2185,26.2083,1.1652,3.7416,27.13,0.0825,#100200,4.0284,9.9095,38.37,0.1018,#423000,6.0176,13.6821,42.23,0.1167,#6450cd,7.384,11.8977,69.29,0.0417,#0078ff,8.2969,19.1944,41.2,0.0321,#119b71,21.4994,29.9499,87.15,0.0006,#aeb0b4
88,S05_pencil,,,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s42_Block_6_neg_00001_.png,S05_pencil_s42_Block_6_neg_00001_.png,,,,1024,1760,76.4191,13.6002,314.58,0.0826,#c4b4c9,62.5619,13.3322,327.61,0.0681,#0f172a,0.1158,5.7191,1.857,1,0.172,6.7976,59.1447,14.1938,327.31,0.0414,#0f172a,63.977,11.2331,329.65,0.0888,#6250ce,64.0496,16.3716,324.71,0.0833,#c100ff,64.1018,17.4899,317.4,0.0702,#cc46b0,64.2235,13.1905,335.91,0.0724,#119f73,64.8638,10.6924,341.33,0.0439,#d0d1d2
89,S05_pencil,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s42_scramble_A_00001_.png,S05_pencil_s42_scramble_A_00001_.png,,,,1024,1760,70.7121,32.7814,70.98,0.0521,#c8a085,6.4065,4.9002,310.13,0.4478,#171214,0.9852,67.1284,9.0524,5,0.3469,63.538,5.1838,1.7387,315.25,0.2997,#131113,27.0067,38.5338,297.82,0.0363,#473a64,36.3859,24.8398,344.84,0.0397,#5b49b3,38.8882,65.2767,38.9,0.0268,#ad2c1a,65.1376,43.158,81.56,0.0218,#cea162,72.3122,17.9347,38.15,0.0472,#d5adab
90,S05_pencil,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s42_scramble_B_00001_.png,S05_pencil_s42_scramble_B_00001_.png,,,,1024,1760,78.266,14.3129,77.2,0.0632,#c3bcb4,20.495,3.3386,27.42,0.1196,#101729,0.8696,60.4892,5.5264,5,0.2542,59.4166,14.7066,4.2673,32.91,0.0625,#0f172a,29.8471,40.6704,31.1,0.0338,#792a26,44.2671,61.0607,33.66,0.0185,#6254d2,47.2403,24.6961,84.69,0.0561,#b93d35,56.3328,38.6439,75.71,0.041,#a37c45,75.1957,1.6441,231.99,0.1917,#d5ba9b
91,S05_pencil,,,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s1337_baseline_00001_.png,S05_pencil_s1337_baseline_00001_.png,,,,1024,1760,89.159,4.5112,85.28,0.3558,#e2ddd5,14.4468,1.2422,49.93,0.135,#0f172a,0.5983,66.1355,5.0494,6,0.1862,73.4965,9.377,0.9069,62.43,0.1217,#0f172a,31.5287,47.8211,33.29,0.0253,#6450cd,45.1942,74.4035,35.74,0.0328,#c92d26,58.78,39.1245,29.09,0.0208,#cd746d,66.7887,44.3699,82.74,0.0249,#c39c52,75.5125,23.6935,82.92,0.0645,#d0b78f
92,S05_pencil,,,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s1337_Block_1_pos_00001_.png,S05_pencil_s1337_Block_1_pos_00001_.png,,,,1024,1760,89.1697,2.2095,249.88,0.4361,#dbdfe3,14.9971,1.6099,303.82,0.0545,#111829,0.5147,78.5379,9.2017,6,0.2238,72.7246,9.5872,1.7228,277.19,0.0708,#101729,42.504,74.4474,37.1,0.0374,#bc251d,59.4501,43.5002,14.36,0.0259,#6055d2,70.0951,52.1798,88.76,0.0439,#c15f6d,76.8233,29.5389,83.65,0.0986,#c9a849,88.1252,13.4285,90.33,0.1253,#e7dcc4
