run_id,prompt_id,seed,condition,cond_tag,dose_target_D,angle_deg,image_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
10,P01,1618033,B6_pos,B6_pos_d045,0.045001,32.21,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B6_pos_d045_00001_.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P01,1618033,B6_pos,B6_pos_d060,0.06,43.405426,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B6_pos_d060_00001_.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P01,P01_s1618033_baseline_00001_,,baseline,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_baseline_00001_.png,P01_s1618033_baseline_00001_.png,,52e5b19ca6,P01_s1618033_baseline_00001_.png,1024.0,1280.0,61.655,8.4355,78.92,0.0558,#9e9386,2.7861,0.8361,11.04,0.3498,#0c0a0a,0.9561,82.7651,11.93,6.0,0.3911,48.7771,1.8598,0.463,358.51,0.3298,#080607,40.7903,27.7774,29.94,0.0485,#8b504b,47.0393,17.1787,54.38,0.0613,#886959,53.6878,48.2266,42.83,0.0319,#c4664a,67.6983,49.2401,57.6,0.0237,#e4915b,84.6249,33.5871,82.65,0.0107,#f1cf95
13,P01,P01_s1618033_scrA_neg_d030_00001_,,scrA_neg_d030,0.03,-15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_neg_d030_00001_.png,P01_s1618033_scrA_neg_d030_00001_.png,,52e5b19ca6,P01_s1618033_scrA_neg_d030_00001_.png,1024.0,1280.0,50.0893,13.3827,61.2,0.0889,#8a7364,2.7174,1.1004,353.06,0.2824,#0c090a,0.9325,81.4523,11.8402,5.0,0.3214,43.9521,2.036,0.8528,347.8,0.2745,#090708,40.2492,26.7112,33.65,0.0469,#875048,50.8145,44.8049,37.43,0.0212,#bb5e4d,60.158,15.3522,244.65,0.0194,#7596a9,64.8763,43.1521,54.78,0.0198,#d88b5f,83.4883,32.0674,79.87,0.01,#efcb95
14,P01,P01_s1618033_scrA_neg_d045_00001_,,scrA_neg_d045,0.045001,-23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_neg_d045_00001_.png,P01_s1618033_scrA_neg_d045_00001_.png,,52e5b19ca6,P01_s1618033_scrA_neg_d045_00001_.png,1024.0,1280.0,61.3407,10.332,100.23,0.0361,#989482,4.9313,1.9148,299.79,0.2775,#111013,0.9801,74.1184,9.0273,5.0,0.2873,47.8313,3.5788,1.7774,296.13,0.2419,#0d0c10,33.8661,27.4238,28.36,0.0454,#78403c,42.3321,49.6086,35.08,0.0255,#a84437,57.8448,43.5073,56.25,0.0209,#c2794d,74.0747,38.4645,83.36,0.0141,#d5b170,77.6971,4.2636,162.55,0.0074,#b9c2bd
15,P01,P01_s1618033_scrA_neg_d060_00001_,,scrA_neg_d060,0.06,-31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_neg_d060_00001_.png,P01_s1618033_scrA_neg_d060_00001_.png,,52e5b19ca6,P01_s1618033_scrA_neg_d060_00001_.png,1024.0,1280.0,63.7273,9.6078,231.89,0.1303,#879ea7,10.5994,4.2934,216.54,0.1386,#151e20,0.8717,66.9643,4.0621,6.0,0.1318,23.9877,7.5401,3.5691,230.47,0.0868,#11181a,20.5671,17.0622,31.93,0.0379,#492925,35.8932,11.3276,89.87,0.045,#5c5442,41.6572,27.5568,46.36,0.0264,#895642,57.0655,18.6264,73.04,0.0368,#9e856a,74.5044,12.504,233.31,0.0174,#9ebcc9
16,P01,P01_s1618033_scrA_pos_d030_00001_,,scrA_pos_d030,0.03,15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_pos_d030_00001_.png,P01_s1618033_scrA_pos_d030_00001_.png,,52e5b19ca6,P01_s1618033_scrA_pos_d030_00001_.png,1024.0,1280.0,68.3,6.1912,81.18,0.0421,#ada69c,2.7213,1.4481,340.91,0.3346,#0d090b,0.9765,85.9874,8.9912,6.0,0.3467,66.1388,1.7225,0.9658,324.87,0.3028,#080608,35.7578,29.2731,23.57,0.0439,#804243,43.8593,46.6099,33.15,0.0246,#aa4940,57.9643,67.1046,42.0,0.0248,#e7613f,75.8026,46.4072,68.23,0.0245,#f0ad6c,87.71,8.437,107.19,0.0091,#deddcd
17,P01,P01_s1618033_scrA_pos_d045_00001_,,scrA_pos_d045,0.045001,23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_pos_d045_00001_.png,P01_s1618033_scrA_pos_d045_00001_.png,,52e5b19ca6,P01_s1618033_scrA_pos_d045_00001_.png,1024.0,1280.0,56.9527,9.9814,63.04,0.0353,#978679,1.3627,1.0937,332.66,0.4743,#070406,0.9832,74.1184,7.5444,5.0,0.5361,81.1929,0.8899,0.8314,350.13,0.4519,#050304,22.1072,36.5938,24.26,0.0471,#641a20,25.9902,21.5075,45.02,0.0842,#593427,34.1083,55.7016,32.49,0.0174,#982523,51.7533,82.0243,42.18,0.0189,#e2401c,75.0083,63.1804,72.41,0.0085,#f5a946
18,P01,P01_s1618033_scrA_pos_d060_00001_,,scrA_pos_d060,0.06,31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_pos_d060_00001_.png,P01_s1618033_scrA_pos_d060_00001_.png,,52e5b19ca6,P01_s1618033_scrA_pos_d060_00001_.png,1024.0,1280.0,41.0147,17.5584,264.56,0.0507,#4b637d,1.596,1.5068,350.44,0.4473,#090506,0.9561,48.8383,6.3387,5.0,0.4873,64.8087,1.2258,1.2165,349.54,0.4173,#070405,13.4586,30.9576,28.72,0.0321,#470d0e,19.3516,15.5786,38.14,0.0699,#442821,26.5958,54.2855,38.15,0.0185,#7d160d,29.2277,20.8477,126.59,0.0071,#3b4a2a,50.0641,66.0252,52.4,0.0131,#c3571a
19,P01,P01_s1618033_scrB_neg_d030_00001_,,scrB_neg_d030,0.03,-21.3119,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrB_neg_d030_00001_.png,P01_s1618033_scrB_neg_d030_00001_.png,,52e5b19ca6,P01_s1618033_scrB_neg_d030_00001_.png,1024.0,1280.0,77.8165,27.4427,117.22,0.0323,#bac693,17.1415,25.8378,110.01,0.2535,#282d01,0.9939,71.5493,6.8179,5.0,0.4196,57.3373,17.1434,25.8188,109.76,0.2553,#292d00,39.9438,38.3462,83.84,0.1643,#755a1c,51.9998,78.5129,51.74,0.0371,#d55202,56.3433,59.3086,76.33,0.038,#b47c17,67.5699,78.1322,68.47,0.0176,#ed8e03,88.6927,21.1755,143.94,0.0129,#c6e7c6
20,P01,P01_s1618033_scrB_neg_d045_00001_,,scrB_neg_d045,0.045001,-32.21,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrB_neg_d045_00001_.png,P01_s1618033_scrB_neg_d045_00001_.png,,52e5b19ca6,P01_s1618033_scrB_neg_d045_00001_.png,1024.0,1280.0,32.9747,48.6786,62.78,0.0449,#793e00,16.0135,23.5516,83.01,0.2012,#352600,0.8455,26.5884,2.4286,3.0,0.2972,47.7658,15.8123,23.2467,83.55,0.1965,#342500,19.1755,30.0942,67.64,0.1007,#472700,23.1724,39.4814,57.32,0.0241,#5c2900,26.1919,48.4718,50.41,0.0104,#702600,33.0489,58.6997,49.89,0.014,#8c2f00,42.4007,71.0125,49.26,0.011,#b33c00
21,P01,P01_s1618033_scrB_neg_d060_00001_,,scrB_neg_d060,0.06,-43.405426,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrB_neg_d060_00001_.png,P01_s1618033_scrB_neg_d060_00001_.png,,52e5b19ca6,P01_s1618033_scrB_neg_d060_00001_.png,1024.0,1280.0,14.5389,19.6665,79.52,0.0314,#312205,7.0186,9.9461,100.72,0.0793,#191602,0.2102,16.7273,4.4134,2.0,0.1705,20.4145,4.8133,6.9214,98.8,0.018,#141001,6.2315,8.8503,76.75,0.0113,#1c1202,6.9745,9.6102,94.35,0.0496,#1a1502,7.0392,10.5535,110.18,0.1202,#171701,9.5131,14.7821,115.57,0.0503,#191c02,21.5407,27.3359,80.81,0.0004,#443008
22,P01,P01_s1618033_scrB_pos_d030_00001_,,scrB_pos_d030,0.03,21.3119,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrB_pos_d030_00001_.png,P01_s1618033_scrB_pos_d030_00001_.png,,52e5b19ca6,P01_s1618033_scrB_pos_d030_00001_.png,1024.0,1280.0,15.8199,26.8645,304.55,0.0352,#2b2147,0.0491,0.9164,291.25,0.3986,#000002,0.9464,38.1531,4.4811,5.0,0.3936,38.0696,0.017,0.3335,290.8,0.313,#000001,1.4668,15.4386,294.49,0.0806,#06021d,6.5208,22.6804,336.13,0.0183,#280721,21.2745,34.6919,8.13,0.0086,#60172d,28.4021,32.8867,296.57,0.0025,#3e3e70,38.1701,38.4032,16.21,0.0092,#933e4a
23,P01,P01_s1618033_scrB_pos_d045_00001_,,scrB_pos_d045,0.045001,32.21,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrB_pos_d045_00001_.png,P01_s1618033_scrB_pos_d045_00001_.png,,52e5b19ca6,P01_s1618033_scrB_pos_d045_00001_.png,1024.0,1280.0,65.1143,17.1412,107.9,0.0482,#a0a081,1.0832,3.229,300.82,0.5574,#05030b,0.9788,72.0078,9.1184,5.0,0.4904,31.9723,0.8051,2.0744,305.26,0.4343,#040207,4.0306,22.6069,296.02,0.052,#0c092a,17.1932,24.7111,357.91,0.0219,#491a2c,28.7782,9.5639,67.86,0.056,#4f4236,41.7029,34.0467,29.81,0.0188,#964e48,72.8129,22.6181,101.62,0.0129,#bab48a
24,P01,1618033,scrB_pos,scrB_pos_d060,0.06,43.405426,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrB_pos_d060_00001_.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P01,P01_s2718281_B1_neg_d030_00001_,,B1_neg_d030,0.03,-15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s2718281_B1_neg_d030_00001_.png,P01_s2718281_B1_neg_d030_00001_.png,,52e5b19ca6,P01_s2718281_B1_neg_d030_00001_.png,1024.0,1280.0,68.7241,15.3545,79.02,0.0529,#b8a58d,2.8549,0.6638,10.83,0.3187,#0c0a0a,0.9709,82.2567,8.1412,5.0,0.3792,56.7601,2.2125,0.411,15.45,0.3065,#090808,24.4855,31.4335,27.91,0.0411,#642625,48.3733,17.7402,59.76,0.0727,#8b6d59,52.211,18.235,252.29,0.0166,#5e819a,61.9022,57.1711,46.69,0.028,#e5774d,84.4692,35.4771,78.69,0.0128,#f6cc91
26,P01,P01_s2718281_B1_neg_d045_00001_,,B1_neg_d045,0.045001,-23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s2718281_B1_neg_d045_00001_.png,P01_s2718281_B1_neg_d045_00001_.png,,52e5b19ca6,P01_s2718281_B1_neg_d045_00001_.png,1024.0,1280.0,66.5744,9.492,77.39,0.0907,#ada091,5.8539,2.1936,51.19,0.1863,#161210,0.9313,78.3723,8.4764,5.0,0.2578,46.8748,4.7426,1.86,53.64,0.1747,#130f0d,32.6511,12.9391,60.15,0.0831,#5d493b,34.6581,25.9118,50.55,0.0713,#734732,47.7517,40.7193,46.51,0.0535,#a85d41,63.4256,48.7348,57.9,0.0187,#d78651,83.1149,46.5338,85.13,0.0141,#f2ca77
27,P01,P01_s2718281_B1_neg_d060_00001_,,B1_neg_d060,0.06,-31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s2718281_B1_neg_d060_00001_.png,P01_s2718281_B1_neg_d060_00001_.png,,52e5b19ca6,P01_s2718281_B1_neg_d060_00001_.png,1024.0,1280.0,60.408,47.21,74.32,0.0352,#bc8840,23.067,21.6987,64.99,0.1024,#4c311a,0.9827,50.3941,6.2696,4.0,0.2234,32.6535,18.5671,18.7778,64.74,0.0449,#3f2815,30.1878,30.2426,59.77,0.0733,#673d1e,40.9426,24.3423,96.17,0.1298,#6a6138,45.0344,42.8059,59.26,0.0442,#9a5b2d,48.3156,34.2918,89.82,0.0936,#857138,68.9612,51.4313,80.01,0.0092,#d1a04a
28,P01,P01_s2718281_B1_pos_d030_00001_,,B1_pos_d030,0.03,15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s2718281_B1_pos_d030_00001_.png,P01_s2718281_B1_pos_d030_00001_.png,,52e5b19ca6,P01_s2718281_B1_pos_d030_00001_.png,1024.0,1280.0,57.2283,12.1993,261.21,0.0471,#7a8b9e,3.4623,1.5147,347.73,0.2986,#0f0b0d,0.9751,74.7732,9.9146,6.0,0.3577,53.5868,1.8196,0.9746,336.34,0.2548,#090608,35.8063,15.6743,32.76,0.1029,#6d4c47,43.1796,41.2636,27.9,0.0285,#a34b48,57.4627,54.5614,45.63,0.0294,#d56c48,69.6022,16.7085,251.97,0.0138,#8eaec6,76.5928,32.3134,72.63,0.0184,#e1b584
29,P01,P01_s2718281_B1_pos_d045_00001_,,B1_pos_d045,0.045001,23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s2718281_B1_pos_d045_00001_.png,P01_s2718281_B1_pos_d045_00001_.png,,52e5b19ca6,P01_s2718281_B1_pos_d045_00001_.png,1024.0,1280.0,65.9062,19.1969,72.54,0.0415,#b79c80,2.5409,0.9344,342.79,0.299,#0b090a,0.974,71.9082,8.0426,5.0,0.3226,67.8463,1.6531,0.8837,17.49,0.2777,#090505,26.1791,32.1251,27.71,0.0449,#692a29,45.1976,68.7301,40.88,0.0285,#c13c21,63.5618,25.9705,265.37,0.0317,#779dc8,66.6769,62.103,64.74,0.0241,#e58e3a,73.5613,18.0504,72.29,0.0087,#cbb096
30,P01,P01_s2718281_B1_pos_d060_00001_,,B1_pos_d060,0.06,31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s2718281_B1_pos_d060_00001_.png,P01_s2718281_B1_pos_d060_00001_.png,,52e5b19ca6,P01_s2718281_B1_pos_d060_00001_.png,1024.0,1280.0,82.1868,3.3606,106.4,0.0996,#cdcdc6,3.8777,2.8977,5.35,0.2188,#130c0d,0.9338,71.9304,13.3794,5.0,0.3321,74.811,2.924,1.8647,350.68,0.2045,#0f090b,42.4132,76.6758,43.1,0.0209,#be2c08,57.9482,36.9717,58.6,0.1162,#ba7d55,65.7044,62.3218,70.43,0.0175,#da8f31,66.5993,25.3646,92.58,0.1276,#b1a174,74.8543,20.2252,253.28,0.0564,#96bddb
31,P01,P01_s2718281_B6_neg_d030_00001_,,B6_neg_d030,0.03,-21.3119,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s2718281_B6_neg_d030_00001_.png,P01_s2718281_B6_neg_d030_00001_.png,,52e5b19ca6,P01_s2718281_B6_neg_d030_00001_.png,1024.0,1280.0,68.9964,43.6844,313.73,0.0358,#c397e2,27.314,52.8526,299.65,0.0543,#373688,0.9414,48.5675,5.675,6.0,0.2431,16.2921,22.7166,51.203,299.83,0.0277,#2c2c7a,43.7492,56.1306,298.03,0.1172,#5e5cba,51.3482,47.406,313.75,0.0281,#9568b5,57.6494,39.8385,333.03,0.0164,#b974ab,64.3756,50.5648,296.89,0.1258,#9792ed,71.2841,44.7975,295.33,0.0398,#a9a6f8
32,P01,P01_s2718281_B6_neg_d045_00001_,,B6_neg_d045,0.045001,-32.21,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s2718281_B6_neg_d045_00001_.png,P01_s2718281_B6_neg_d045_00001_.png,,52e5b19ca6,P01_s2718281_B6_neg_d045_00001_.png,1024.0,1280.0,77.9233,15.5619,326.24,0.1121,#d2b9d1,68.2288,19.2483,348.41,0.0862,#c59bae,0.1263,14.0886,1.7417,2.0,0.2324,11.6723,65.1069,21.9587,355.65,0.0378,#c390a2,65.3744,18.0916,336.47,0.1084,#b795ac,68.7478,24.0277,335.03,0.0411,#c79bbb,70.7961,24.4413,347.19,0.0632,#d49eb8,73.5918,29.7639,8.06,0.0532,#eba1ae,79.1956,24.8107,357.08,0.124,#f0b4c7
33,P01,P01_s2718281_B6_neg_d060_00001_,,B6_neg_d060,0.06,-43.405426,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s2718281_B6_neg_d060_00001_.png,P01_s2718281_B6_neg_d060_00001_.png,,52e5b19ca6,P01_s2718281_B6_neg_d060_00001_.png,1024.0,1280.0,71.7219,23.5666,27.63,0.0946,#dca19d,45.4316,21.133,11.5,0.0538,#8f5e65,0.4726,30.4283,2.846,5.0,0.2107,23.8207,39.4284,21.8251,10.97,0.0309,#804f57,49.7326,28.7302,17.25,0.0395,#a66469,55.2895,16.0888,8.68,0.1156,#a17b81,56.9645,21.0312,23.04,0.0951,#ae7c7b,62.2463,35.2766,24.86,0.0449,#d3807e,69.8568,11.4559,16.24,0.0388,#c1a4a5
