type,report,prompt_id,seed,block,rot_kind,angle_deg,image_path,file,condition,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
rotX,benchmark_tiefling,tiefling,,Block_3,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_3_rotX_+30.0_00001_.png,Block_3_rotX_+30.0_00001_.png,,,,,1024,1760,99.5587,0.2839,309.89,0.2871,#8153ae,2.8355,0.375,16.37,0.1204,#0d090c,0.7151,77.6,10.9456,5,0.3236,40.1787,2.5687,0.3318,67.44,0.1648,#0b080b,36.7982,23.5834,146.79,0.0313,#462a20,41.4987,21.6041,106.13,0.0597,#5e326f,49.0818,9.6921,263.36,0.1588,#905a2e,58.7545,40.5105,143.58,0.0664,#8d68d2,80.1687,20.3151,316.19,0.0509,#e3b868
rotX,benchmark_tiefling,tiefling,,Block_4,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_4_rotX_-15.0_00001_.png,Block_4_rotX_-15.0_00001_.png,,,,,1024,1760,98.7866,0.2815,154.12,0.3153,#7b55bd,4.4346,0.9603,5.82,0.1068,#151013,0.7035,80.2423,12.1652,4,0.2351,18.6027,4.3792,0.9796,7.96,0.1514,#110b0e,37.479,17.8137,65.36,0.0757,#4a266e,60.1046,18.1462,139.61,0.0708,#7e4729,80.3823,19.5823,315.83,0.0838,#6f4bcb,82.3641,13.587,98.15,0.0405,#e5ae5e,84.6215,6.4435,274.05,0.0701,#d7d2ca
rotX,benchmark_tiefling,tiefling,,Block_4,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_4_rotX_-30.0_00001_.png,Block_4_rotX_-30.0_00001_.png,,,,,1024,1760,96.956,0.5421,329.24,0.3076,#9360e1,7.3998,3.4689,281.45,0.0661,#151114,0.6878,77.7847,9.8243,5,0.3013,29.049,3.8929,1.1889,338.66,0.0744,#080609,36.4147,15.7457,66.76,0.1633,#222a46,48.1348,9.3619,163.96,0.0583,#422a1f,58.979,30.238,83.23,0.0243,#6e45c5,62.5039,25.3204,138.34,0.0975,#a96422,81.6776,14.4698,308.24,0.138,#fadb89
rotX,benchmark_tiefling,tiefling,,Block_4,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_4_rotX_+15.0_00001_.png,Block_4_rotX_+15.0_00001_.png,,,,,1024,1760,99.118,0.3506,302.23,0.1899,#374054,3.3502,0.3338,9.46,0.1686,#160f11,0.8124,76.4829,11.2689,5,0.2646,36.9582,1.9656,0.2108,31.89,0.1839,#120c0e,29.5724,18.6809,69.38,0.0807,#4a2b59,59.7596,37.169,134.39,0.0709,#5f57d3,65.8688,30.6234,308.64,0.0653,#ae5e3c,74.8991,26.2524,101.5,0.0241,#d8b382,78.4486,5.668,11.79,0.0583,#dad9d8
rotX,benchmark_tiefling,tiefling,,Block_4,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_4_rotX_+30.0_00001_.png,Block_4_rotX_+30.0_00001_.png,,,,,1024,1760,97.7869,1.5995,316.11,0.1908,#925db9,4.052,1.1995,69.11,0.1862,#151212,0.8231,80.7515,10.6673,5,0.3011,69.0526,2.6147,0.7572,70.81,0.19,#120e0f,27.399,43.1058,322.25,0.0245,#412045,51.7066,18.7928,150.12,0.111,#4a3124,57.6827,69.8098,318.66,0.0249,#693b7b,82.822,22.604,91.38,0.0207,#8564d5,83.3662,15.6002,316.18,0.0197,#e2ca9b
rotX,benchmark_tiefling,tiefling,,Block_5,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_5_rotX_-30.0_00001_.png,Block_5_rotX_-30.0_00001_.png,,,,,1024,1760,98.2984,0.1859,58.37,0.2542,#aa704b,16.1776,2.92,352.96,0.1199,#201717,0.7578,66.53,4.7215,6,0.3012,24.0545,11.2586,4.4487,45.49,0.0885,#171111,26.7696,18.2542,66.32,0.2121,#6a37b4,44.5887,17.509,287.13,0.0891,#4b5992,50.4208,14.0972,134.43,0.0857,#bb7e49,67.9835,28.5032,313.88,0.0265,#d0cc67,77.7887,5.8725,271.14,0.0306,#daddc9
rotX,benchmark_tiefling,tiefling,,Block_5,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_5_rotX_+30.0_00001_.png,Block_5_rotX_+30.0_00001_.png,,,,,1024,1760,99.4704,0.1843,286.95,0.2483,#5b4877,4.7044,0.3755,45.66,0.218,#10172a,0.7528,75.1771,15.2891,4,0.3754,28.3174,2.9748,0.605,32.33,0.2438,#100d11,16.2923,16.1897,66.36,0.1316,#362749,25.9684,28.9224,58.27,0.0505,#53322b,30.342,20.5065,176.4,0.0901,#6254d1,75.0567,16.4144,101.02,0.0542,#cea269,78.1518,14.1633,309.11,0.0457,#ccd5d7
rotX,benchmark_tiefling,tiefling,,Block_5,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_5_rotX_+15.0_00001_.png,Block_5_rotX_+15.0_00001_.png,,,,,1024,1760,99.758,0.1774,96.16,0.2563,#61487e,5.8067,0.6839,117.44,0.1514,#161317,0.7485,80.5683,11.7016,4,0.2827,40.1438,3.764,0.5084,87.93,0.1719,#100d11,30.2289,18.2494,52.39,0.1109,#753f2d,43.1013,14.006,157.13,0.0966,#6155d1,47.4326,40.6522,144.75,0.0909,#8c7ab2,80.3262,19.7214,306.87,0.0768,#d2a975,84.3323,15.1036,99.01,0.0433,#bac6cb
rotX,benchmark_tiefling,tiefling,,Block_5,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_5_rotX_-15.0_00001_.png,Block_5_rotX_-15.0_00001_.png,,,,,1024,1760,99.0658,0.3479,326.6,0.2959,#41496a,9.1923,2.1399,57.07,0.1058,#1b1216,0.714,71.2065,8.1945,5,0.2337,24.1261,6.2364,2.183,54.3,0.1184,#130b0e,26.3394,20.7222,73.92,0.1153,#4d285e,33.8443,17.6443,41.76,0.1022,#6b3f2e,46.6623,21.7707,139.42,0.0781,#6e4ed2,73.2631,26.3091,308.71,0.0577,#d2a36d,77.4429,8.1471,312.8,0.0925,#d6c2c0
rotX,benchmark_tiefling,tiefling,,Block_6,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_6_rotX_+30.0_00001_.png,Block_6_rotX_+30.0_00001_.png,,,,,1024,1760,20.0981,28.4533,97.24,0.0413,#0f172a,0.5637,1.5945,32.87,0.4913,#010000,0.9299,32.8516,4.8966,4,0.389,41.3222,0.259,0.7604,31.36,0.3159,#000000,5.2594,8.8604,63.83,0.073,#2d2c67,10.7711,16.2302,100.64,0.0333,#be42a6,12.778,19.9447,72.57,0.0188,#017aff,28.844,38.1033,84.77,0.0037,#11a375,33.1106,42.0826,103.95,0.0095,#b4b5b8
