run_idx,prompt_id,seed,condition,node_type,angle,d_target,image_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
38,S02_linocut,,,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s4242145_Block_6_pos_00001_.png,S02_linocut_s4242145_Block_6_pos_00001_.png,,,,1024,1760,22.838,31.977,83.22,0.1076,#473300,7.9876,14.2718,283.1,0.2684,#0f172a,0.7022,67.0065,2.9837,6,0.1123,72.3352,6.2794,10.4952,61.07,0.0404,#201101,15.1783,25.2498,63.12,0.0719,#3c1f00,32.0396,40.4991,92.53,0.0027,#594b00,43.3178,74.4582,301.72,0.0069,#6054d1,57.1294,46.2428,163.85,0.0003,#119c71,73.2859,2.123,274.68,0.0004,#b2b4b8
39,S02_linocut,,,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s4242145_Block_6_neg_00001_.png,S02_linocut_s4242145_Block_6_neg_00001_.png,,,,1024,1760,78.5868,10.8421,350.28,0.1446,#d5bcc6,7.9911,14.2802,283.09,0.2682,#0f172a,0.6345,62.4533,11.0642,5,0.4599,105.9126,7.9915,14.2795,283.09,0.4206,#0f172a,42.5114,74.2545,303.15,0.0071,#6450cd,50.1282,118.6669,319.03,0.0006,#c100ff,55.1034,44.2908,164.57,0.0004,#12966e,62.5566,30.1848,359.81,0.0298,#ca8398,70.4448,12.7542,299.42,0.0393,#aea9c0
40,S02_linocut,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s4242145_scramble_A_00001_.png,S02_linocut_s4242145_scramble_A_00001_.png,,,,1024,1760,59.1403,61.11,58.26,0.0327,#d57631,1.5361,1.6197,2.95,0.4268,#0a0405,0.9872,80.4047,11.7325,5,0.4221,83.7124,1.0398,0.9553,336.89,0.3965,#060305,22.3855,32.9051,290.43,0.0196,#253264,32.0464,52.3375,33.25,0.0257,#8e2421,39.7649,72.2424,301.89,0.0066,#584bc3,44.7286,84.6677,39.4,0.0181,#d01c0f,81.4445,6.4172,42.58,0.01,#d7c7c2
41,S02_linocut,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s4242145_scramble_B_00001_.png,S02_linocut_s4242145_scramble_B_00001_.png,,,,1024,1760,75.7902,10.3422,102.98,0.1156,#bebba8,7.6135,10.2836,283.34,0.3881,#121624,0.9012,59.085,7.272,5,0.2342,73.3616,4.8276,1.5587,23.18,0.1155,#13100f,21.6177,41.3341,32.69,0.0233,#651615,42.6183,70.3305,37.81,0.015,#bd2e1f,43.7038,74.9203,302.1,0.0053,#6354d2,57.9499,55.3279,72.08,0.0326,#bd7e2a,63.9126,9.8223,186.07,0.1187,#86a09c
42,S03_cyberpunk,,,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s42_baseline_00001_.png,S03_cyberpunk_s42_baseline_00001_.png,,,,1024,1760,86.8214,6.1315,262.1,0.1371,#d2dae5,8.9011,13.1276,286.06,0.4099,#14192a,0.8943,83.5533,7.6849,6,0.1133,60.339,6.352,5.3148,20.31,0.0752,#1c1111,27.7121,37.9758,337.36,0.0293,#6a2958,33.906,57.452,29.93,0.0381,#9a1f25,46.2804,65.6538,319.91,0.0182,#9c4bb5,61.3029,60.6327,70.83,0.026,#cb8528,89.9053,9.2934,68.14,0.016,#f0dfd2
43,S03_cyberpunk,,,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s42_Block_1_pos_00001_.png,S03_cyberpunk_s42_Block_1_pos_00001_.png,,,,1024,1760,86.1238,9.4142,249.72,0.2849,#c8dae8,8.984,13.1016,285.56,0.3774,#14192a,0.812,80.9021,10.8373,5,0.4406,66.2422,8.4098,14.3824,284.0,0.3779,#10182b,35.4486,57.4223,295.05,0.0282,#3b4ba8,39.141,72.4008,37.47,0.0349,#b51e16,53.6998,67.3265,333.34,0.018,#ca50b6,59.1474,47.1442,70.43,0.0429,#bd823f,89.3119,6.1586,79.17,0.0627,#e8dfd5
44,S03_cyberpunk,,,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s42_Block_1_neg_00001_.png,S03_cyberpunk_s42_Block_1_neg_00001_.png,,,,1024,1760,73.4676,19.3939,98.02,0.1297,#bdb591,8.1675,14.2964,283.71,0.2716,#10172a,0.922,68.7703,6.8807,5,0.3724,55.6055,8.0526,14.2763,283.16,0.2924,#0f172a,32.6888,51.9634,38.49,0.0445,#8d2a1c,35.782,29.0939,358.81,0.0215,#7e4156,50.0561,68.8539,316.43,0.0112,#a156c9,64.8712,13.2485,147.05,0.08,#8ea390,76.823,30.4514,83.21,0.0284,#d8ba86
45,S03_cyberpunk,,,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s42_Block_6_pos_00001_.png,S03_cyberpunk_s42_Block_6_pos_00001_.png,,,,1024,1760,8.8178,14.7661,118.48,0.0417,#171b00,0.9118,2.9229,28.68,0.3544,#0c0100,0.8666,71.7792,6.3989,5,0.181,76.201,0.5936,2.2022,24.31,0.1757,#080100,23.3606,36.3573,120.56,0.0045,#293e00,42.458,74.2624,303.07,0.0053,#6350cd,52.4414,78.4032,287.9,0.0005,#0078ff,57.219,46.33,163.8,0.0003,#119c71,72.3728,2.2122,274.72,0.0004,#b0b2b5
46,S03_cyberpunk,,,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s42_Block_6_neg_00001_.png,S03_cyberpunk_s42_Block_6_neg_00001_.png,,,,1024,1760,71.6105,21.3371,326.63,0.1195,#c7a5c5,7.9954,14.2773,283.08,0.2683,#0f172a,0.7925,59.5439,11.6386,5,0.4109,104.3887,7.9918,14.2782,283.09,0.3377,#0f172a,42.451,74.655,302.7,0.0056,#6250ce,50.1282,118.6669,319.03,0.0004,#c100ff,57.715,33.6915,318.68,0.068,#a57cb2,58.4891,48.7495,317.21,0.0538,#af77c7,67.5356,24.0659,293.96,0.0732,#a2a0cc
47,S03_cyberpunk,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s42_scramble_A_00001_.png,S03_cyberpunk_s42_scramble_A_00001_.png,,,,1024,1760,61.4071,12.1553,193.32,0.0479,#799b99,2.7004,5.4611,334.53,0.214,#12060f,0.9835,72.611,9.9305,6,0.2294,67.7473,2.1797,4.7647,326.99,0.1906,#0f050e,15.1805,35.8933,311.43,0.0388,#321a4d,21.4343,43.9755,29.38,0.0278,#680f16,34.3037,72.512,314.09,0.0175,#712ea5,41.2394,72.2129,38.95,0.0172,#ba2818,74.7907,39.8364,67.07,0.0153,#e8ac75
48,S03_cyberpunk,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s42_scramble_B_00001_.png,S03_cyberpunk_s42_scramble_B_00001_.png,,,,1024,1760,76.7617,12.5475,111.64,0.0986,#bebfa8,8.4765,14.1635,284.98,0.305,#11182b,0.9283,76.9468,14.1461,4,0.1356,65.3262,6.4093,2.7681,35.13,0.0928,#191312,22.5331,36.8044,26.29,0.0428,#651c1f,23.2322,34.7069,329.58,0.0234,#562452,44.4956,48.9714,58.66,0.0282,#9e5722,44.9911,68.0943,314.14,0.0114,#8d4cbd,83.3562,27.6559,91.0,0.0153,#e2ce9c
49,S03_cyberpunk,,,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s1337_baseline_00001_.png,S03_cyberpunk_s1337_baseline_00001_.png,,,,1024,1760,87.4592,5.8398,292.53,0.1161,#dbdae5,9.199,12.3433,288.86,0.4375,#161929,0.9118,71.7684,6.7745,6,0.4166,54.1188,8.9873,14.3019,284.95,0.3742,#12192c,28.6132,39.9153,323.65,0.0394,#623068,39.1114,65.8365,33.47,0.0311,#b12424,47.758,66.3941,322.08,0.031,#a54cb7,55.7412,50.3924,68.59,0.0424,#b77832,80.7557,12.2753,348.85,0.0285,#ddc1cd
50,S03_cyberpunk,,,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s1337_Block_1_pos_00001_.png,S03_cyberpunk_s1337_Block_1_pos_00001_.png,,,,1024,1760,87.9335,7.1072,247.34,0.2463,#d1dfe9,8.6679,13.2259,285.75,0.3387,#13182a,0.8258,80.0451,6.2819,6,0.4345,65.4736,7.8853,13.7454,285.82,0.3862,#111729,28.9987,65.1589,304.04,0.0379,#44329a,43.2302,73.2762,32.4,0.0462,#c62229,49.6902,61.7719,338.47,0.0335,#c0479e,63.4459,49.0008,71.66,0.0435,#c98e45,87.9304,7.8025,79.24,0.0483,#e6dbce
51,S03_cyberpunk,,,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s1337_Block_1_neg_00001_.png,S03_cyberpunk_s1337_Block_1_neg_00001_.png,,,,1024,1760,74.1731,20.6433,91.97,0.1132,#c4b591,8.0357,13.9089,283.49,0.2759,#101729,0.9171,64.6478,11.6997,5,0.413,57.7168,8.0143,14.2838,283.15,0.2919,#0f172a,43.0336,58.4485,40.43,0.0266,#b14029,44.2463,72.0006,311.56,0.008,#854bc3,56.9999,50.0016,70.29,0.047,#b87c34,62.9404,15.5712,159.01,0.1211,#80a08e,72.6621,23.5687,74.04,0.0283,#cdad89
