report,prompt_id,seed,steps,cfg,family,block,rot_kind,angle_deg,amplitude,image_rel,clip_dist,cosine_sim
benchmark_flag_report.html,flag,4242145,6,1.0,rot_other,Block_3,tensor_rot_x,20.0,,rotations/Block_3_tensor_rot_x_+20.0_00001_.png,0.1567,0.8433
benchmark_flag_report.html,flag,4242145,6,1.0,rot_other,Block_3,tensor_rot_y,-20.0,,rotations/Block_3_tensor_rot_y_-20.0_00001_.png,0.0889,0.9111
benchmark_flag_report.html,flag,4242145,6,1.0,rot_other,Block_3,tensor_rot_y,20.0,,rotations/Block_3_tensor_rot_y_+20.0_00001_.png,0.0868,0.9132
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,rot_other,Block_3,structural_rot_y,-20.0,,rotations/Block_3_structural_rot_y_-20.0_00001_.png,0.0563,0.9437
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,rot_other,Block_3,structural_rot_y,20.0,,rotations/Block_3_structural_rot_y_+20.0_00001_.png,0.0532,0.9468
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,rot_other,Block_3,tensor_rot_x,-20.0,,rotations/Block_3_tensor_rot_x_-20.0_00001_.png,0.0893,0.9107
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,rot_other,Block_3,tensor_rot_x,20.0,,rotations/Block_3_tensor_rot_x_+20.0_00001_.png,0.0981,0.9019
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,rot_other,Block_3,tensor_rot_y,-20.0,,rotations/Block_3_tensor_rot_y_-20.0_00001_.png,0.0767,0.9233
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,rot_other,Block_3,tensor_rot_y,20.0,,rotations/Block_3_tensor_rot_y_+20.0_00001_.png,0.092,0.908
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,rot_other,Block_3,structural_rot_y,-20.0,,rotations/Block_3_structural_rot_y_-20.0_00001_.png,0.1119,0.8881
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,rot_other,Block_3,structural_rot_y,20.0,,rotations/Block_3_structural_rot_y_+20.0_00001_.png,0.0894,0.9106
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,rot_other,Block_3,tensor_rot_x,-20.0,,rotations/Block_3_tensor_rot_x_-20.0_00001_.png,0.1105,0.8895
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,rot_other,Block_3,tensor_rot_x,20.0,,rotations/Block_3_tensor_rot_x_+20.0_00001_.png,0.1397,0.8603
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,rot_other,Block_3,tensor_rot_y,-20.0,,rotations/Block_3_tensor_rot_y_-20.0_00001_.png,0.0873,0.9127
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,rot_other,Block_3,tensor_rot_y,20.0,,rotations/Block_3_tensor_rot_y_+20.0_00001_.png,0.1514,0.8486
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,rot_other,Block_3,structural_rot_y,-20.0,,rotations/Block_3_structural_rot_y_-20.0_00001_.png,0.1412,0.8588
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,rot_other,Block_3,structural_rot_y,20.0,,rotations/Block_3_structural_rot_y_+20.0_00001_.png,0.0714,0.9286
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,rot_other,Block_3,tensor_rot_x,-20.0,,rotations/Block_3_tensor_rot_x_-20.0_00001_.png,0.1055,0.8945
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,rot_other,Block_3,tensor_rot_x,20.0,,rotations/Block_3_tensor_rot_x_+20.0_00001_.png,0.1397,0.8603
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,rot_other,Block_3,tensor_rot_y,-20.0,,rotations/Block_3_tensor_rot_y_-20.0_00001_.png,0.1255,0.8745
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,rot_other,Block_3,tensor_rot_y,20.0,,rotations/Block_3_tensor_rot_y_+20.0_00001_.png,0.1764,0.8236
benchmark_tiefling_seed42_report.html,tiefling,42,6,1.0,rot_other,Block_3,structural_rot_y,-20.0,,rotations/Block_3_structural_rot_y_-20.0_00001_.png,0.1155,0.8845
benchmark_tiefling_seed42_report.html,tiefling,42,6,1.0,rot_other,Block_3,structural_rot_y,20.0,,rotations/Block_3_structural_rot_y_+20.0_00001_.png,0.1312,0.8688
benchmark_tiefling_seed42_report.html,tiefling,42,6,1.0,rot_other,Block_3,tensor_rot_x,-20.0,,rotations/Block_3_tensor_rot_x_-20.0_00001_.png,0.0929,0.9071
benchmark_tiefling_seed42_report.html,tiefling,42,6,1.0,rot_other,Block_3,tensor_rot_x,20.0,,rotations/Block_3_tensor_rot_x_+20.0_00001_.png,0.1746,0.8254
benchmark_tiefling_seed42_report.html,tiefling,42,6,1.0,rot_other,Block_3,tensor_rot_y,-20.0,,rotations/Block_3_tensor_rot_y_-20.0_00001_.png,0.1571,0.8429
benchmark_tiefling_seed42_report.html,tiefling,42,6,1.0,rot_other,Block_3,tensor_rot_y,20.0,,rotations/Block_3_tensor_rot_y_+20.0_00001_.png,0.1506,0.8494
benchmark_troll_shaman_report.html,troll_shaman,4242145,6,1.0,rot_other,Block_3,structural_rot_y,-20.0,,rotations/Block_3_structural_rot_y_-20.0_00001_.png,0.1108,0.8892
benchmark_troll_shaman_report.html,troll_shaman,4242145,6,1.0,rot_other,Block_3,structural_rot_y,20.0,,rotations/Block_3_structural_rot_y_+20.0_00001_.png,0.1082,0.8918
benchmark_troll_shaman_report.html,troll_shaman,4242145,6,1.0,rot_other,Block_3,tensor_rot_x,-20.0,,rotations/Block_3_tensor_rot_x_-20.0_00001_.png,0.1364,0.8636
benchmark_troll_shaman_report.html,troll_shaman,4242145,6,1.0,rot_other,Block_3,tensor_rot_x,20.0,,rotations/Block_3_tensor_rot_x_+20.0_00001_.png,0.1253,0.8747
benchmark_troll_shaman_report.html,troll_shaman,4242145,6,1.0,rot_other,Block_3,tensor_rot_y,-20.0,,rotations/Block_3_tensor_rot_y_-20.0_00001_.png,0.1413,0.8587
benchmark_troll_shaman_report.html,troll_shaman,4242145,6,1.0,rot_other,Block_3,tensor_rot_y,20.0,,rotations/Block_3_tensor_rot_y_+20.0_00001_.png,0.1127,0.8873
