image_path,output_folder,file,bench,prompt_id,seed,condition,recorded_in,notebook_page
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\00_baseline_00001_.png,benchmark_african_scientist,00_baseline_00001_.png,pilot_rotations,african_scientist,4242145,baseline,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s4242145_Block_3_neg_00001_.png,rotations_block1_vs_block6,S01_oil_s4242145_Block_3_neg_00001_.png,rotations_triangolo,S01_oil,4242145,Block_3_neg,rotations_triangolo_palette_features.csv; rotations_triangolo_style_features.csv,none -- verdict not determined
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s4242145_Block_3_pos_00001_.png,rotations_block1_vs_block6,S01_oil_s4242145_Block_3_pos_00001_.png,rotations_triangolo,S01_oil,4242145,Block_3_pos,rotations_triangolo_palette_features.csv; rotations_triangolo_style_features.csv,none -- verdict not determined
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s4242145_Block_6_neg_00001_.png,rotations_block1_vs_block6,S01_oil_s4242145_Block_6_neg_00001_.png,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,4242145,Block_6_neg,direzioni_rotazioni_e_scramble.jsonl; rotations_block1_vs_block6_palette_features.csv; rotations_block1_vs_block6_style_features.csv; rotations_triangolo_palette_features.csv; rotations_triangolo_style_features.csv,08-block1-vs-block6 + none -- verdict not determined
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s4242145_Block_6_pos_00001_.png,rotations_block1_vs_block6,S01_oil_s4242145_Block_6_pos_00001_.png,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,4242145,Block_6_pos,direzioni_rotazioni_e_scramble.jsonl; rotations_block1_vs_block6_palette_features.csv; rotations_block1_vs_block6_style_features.csv; rotations_triangolo_palette_features.csv; rotations_triangolo_style_features.csv,08-block1-vs-block6 + none -- verdict not determined
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s4242145_baseline_00001_.png,rotations_block1_vs_block6,S01_oil_s4242145_baseline_00001_.png,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,4242145,baseline,direzioni_rotazioni_e_scramble.jsonl; rotations_block1_vs_block6_palette_features.csv; rotations_block1_vs_block6_style_features.csv; rotations_triangolo_palette_features.csv; rotations_triangolo_style_features.csv,08-block1-vs-block6 + none -- verdict not determined
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s4242145_scramble_A_00001_.png,rotations_block1_vs_block6,S01_oil_s4242145_scramble_A_00001_.png,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,4242145,scramble_A,direzioni_rotazioni_e_scramble.jsonl; rotations_block1_vs_block6_palette_features.csv; rotations_block1_vs_block6_style_features.csv; rotations_triangolo_palette_features.csv; rotations_triangolo_style_features.csv,08-block1-vs-block6 + none -- verdict not determined
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s4242145_scramble_B_00001_.png,rotations_block1_vs_block6,S01_oil_s4242145_scramble_B_00001_.png,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,4242145,scramble_B,direzioni_rotazioni_e_scramble.jsonl; rotations_block1_vs_block6_palette_features.csv; rotations_block1_vs_block6_style_features.csv; rotations_triangolo_palette_features.csv; rotations_triangolo_style_features.csv,08-block1-vs-block6 + none -- verdict not determined
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s4242145_scramble_C_00001_.png,rotations_block1_vs_block6,S01_oil_s4242145_scramble_C_00001_.png,rotations_triangolo,S01_oil,4242145,scramble_C,rotations_triangolo_palette_features.csv; rotations_triangolo_style_features.csv,none -- verdict not determined
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s4242145_scramble_D_00001_.png,rotations_block1_vs_block6,S01_oil_s4242145_scramble_D_00001_.png,rotations_triangolo,S01_oil,4242145,scramble_D,rotations_triangolo_palette_features.csv; rotations_triangolo_style_features.csv,none -- verdict not determined
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_1_neg_00001_.png,rotations_block1_vs_block6,S01_oil_s42_Block_1_neg_00001_.png,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,42,Block_1_neg,direzioni_rotazioni_e_scramble.jsonl; rotations_block1_vs_block6_palette_features.csv; rotations_block1_vs_block6_style_features.csv; rotations_triangolo_palette_features.csv; rotations_triangolo_style_features.csv,08-block1-vs-block6 + none -- verdict not determined
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_1_pos_00001_.png,rotations_block1_vs_block6,S01_oil_s42_Block_1_pos_00001_.png,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,42,Block_1_pos,direzioni_rotazioni_e_scramble.jsonl; rotations_block1_vs_block6_palette_features.csv; rotations_block1_vs_block6_style_features.csv; rotations_triangolo_palette_features.csv; rotations_triangolo_style_features.csv,08-block1-vs-block6 + none -- verdict not determined
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_3_neg_00001_.png,rotations_block1_vs_block6,S01_oil_s42_Block_3_neg_00001_.png,rotations_triangolo,S01_oil,42,Block_3_neg,rotations_triangolo_palette_features.csv; rotations_triangolo_style_features.csv,none -- verdict not determined
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_3_pos_00001_.png,rotations_block1_vs_block6,S01_oil_s42_Block_3_pos_00001_.png,rotations_triangolo,S01_oil,42,Block_3_pos,rotations_triangolo_palette_features.csv; rotations_triangolo_style_features.csv,none -- verdict not determined
