type,report,prompt_id,seed,block,rot_kind,angle_deg,image_path,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
rotX,benchmark_tiefling_seed42,tiefling,42,Block_5,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_5_rotX_+15.0_00001_.png,Block_5_rotX_+15.0_00001_.png,1024,1760,4.0,2.257361650466919,0.5643404126167297,0.021732399680397727,99.15696202531646,395,2.8309478759765625,3.728511333465576,0.67325,0.7870625063149657,8.865795130241704,25.27509307861328,2,15.0,7.526540615440837,1.954960695223369,0.896837834811634,0.40254369284670843,0.9295873848985319,2.5671840014837244,0.89014892578125,-2.8868141905318674,3.942295469945851e-05
rotX,benchmark_tiefling_seed42,tiefling,42,Block_5,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_5_rotX_+30.0_00001_.png,Block_5_rotX_+30.0_00001_.png,1024,1760,2.799999952316284,2.050745964050293,0.7324092853479605,0.017931019176136365,85.71883289124668,377,2.773383140563965,3.692119598388672,0.6241000000000001,0.8133244821292914,9.53542953873912,26.10034942626953,2,14.0,7.864361624485725,1.4322876081176865,0.9136304025485855,0.34936481645666645,0.9518911979119016,2.4427389577261738,0.8857344193892045,-2.808383329748517,2.7961180955263586e-05
rotX,benchmark_tiefling_seed42,tiefling,42,Block_6,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_6_rotX_-30.0_00001_.png,Block_6_rotX_-30.0_00001_.png,1024,1760,2.0,1.9809112548828125,0.9904556274414062,0.005265669389204545,44.976303317535546,211,3.663062334060669,4.066095352172852,0.5414,0.8474326544410388,10.481189984236279,26.526811599731445,2,25.0,10.075890751985956,1.647132879954748,0.7775445773625884,0.35025127667993916,0.9861415059685721,2.7416100396618464,0.84434814453125,-2.5058715513806806,1.881519704640433e-05
rotX,benchmark_tiefling_seed42,tiefling,42,Block_5,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_5_rotX_-15.0_00001_.png,Block_5_rotX_-15.0_00001_.png,1024,1760,2.799999952316284,2.130682945251465,0.7609582076917071,0.022268399325284093,91.83752860411899,437,2.9582295417785645,3.807332754135132,0.6295,0.8101810822342523,9.452685977798623,32.66689682006836,1,15.0,7.734658418144209,1.771785138364744,0.896603942664773,0.38765532157812255,0.9374417310154597,2.5682349927123083,0.8978809703480113,-2.871250359743445,3.86205187050246e-05
rotX,benchmark_tiefling_seed42,tiefling,42,Block_6,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_6_rotX_-15.0_00001_.png,Block_6_rotX_-15.0_00001_.png,1024,1760,2.0,1.0888752937316895,0.5444376468658447,0.10482288707386364,186.12413793103448,1015,2.0074219703674316,2.5627400875091553,0.5803499999999999,0.8329796544971668,10.069489355026203,68.65877532958984,2,26.0,4.065441237606826,2.5644776532564775,0.6518457160899449,0.283687204747746,0.9516066247647776,2.584918775481092,0.8519436922940341,-2.1663618571059353,8.569216542259707e-05
rotX,benchmark_tiefling_seed42,tiefling,42,Block_6,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_6_rotX_+15.0_00001_.png,Block_6_rotX_+15.0_00001_.png,1024,1760,2.0,1.935056447982788,0.967528223991394,0.008070512251420454,55.94230769230769,260,2.739042282104492,3.4980859756469727,0.7697,0.7201456091239435,7.3644737476669615,29.27053451538086,1,8.0,7.852574731474131,1.0319119082589228,0.9523872495359773,0.49756121226828237,0.9540313097186136,1.7293682199732725,0.9748307661576705,-2.6258274257038123,6.017179301167628e-05
rotX,benchmark_tiefling_seed42,tiefling,42,Block_6,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_6_rotX_+30.0_00001_.png,Block_6_rotX_+30.0_00001_.png,1024,1760,2.0,1.0252426862716675,0.5126213431358337,0.004046075994318182,49.605442176870746,147,3.497408628463745,3.9863836765289307,0.77555,0.6867126842913388,6.712502577937397,19.856460571289062,0,1.0,2.3304288097901638,0.8002918795989324,0.9776424773827617,0.6588163483879172,0.7552598069746997,1.961888782825017,0.9851545854048295,-2.2003291866232053,0.000341515984124729
rotX,benchmark_troll_shaman,troll_shaman,4242145,Block_1,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_troll_shaman\rotations\Block_1_rotX_-15.0_00001_.png,Block_1_rotX_-15.0_00001_.png,1024,1760,4.0,2.3533642292022705,0.5883410573005676,0.06843705610795454,102.86905754795663,1199,2.938239336013794,3.8084261417388916,0.57375,0.8662038304586567,11.041125371637456,32.44287872314453,6,18.0,6.756560177509387,6.114573429232513,0.8076022383316157,0.29685150661393345,0.9682558925107814,2.6025597681171377,0.948040771484375,-3.2272451829173505,1.392636267129165e-05
rotX,benchmark_troll_shaman,troll_shaman,4242145,Block_1,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_troll_shaman\rotations\Block_1_rotX_+15.0_00001_.png,Block_1_rotX_+15.0_00001_.png,1024,1760,2.799999952316284,2.530168056488037,0.9036314641344797,0.06498524058948864,39.19645247657296,2988,2.7984631061553955,3.705507278442383,0.6924,0.7680168512836867,8.409776182387018,30.48474884033203,4,18.0,7.432874291023547,9.647177131783407,0.8516150231682065,0.38270278575325034,0.9656976016979975,2.386699654040556,0.9480490944602273,-2.966673135813984,2.0669203497540245e-05
rotX,benchmark_troll_shaman,troll_shaman,4242145,Block_2,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_troll_shaman\rotations\Block_2_rotX_-30.0_00001_.png,Block_2_rotX_-30.0_00001_.png,1024,1760,4.0,2.22107195854187,0.5552679896354675,0.08836836381392045,96.93304930006086,1643,2.262571334838867,3.3774333000183105,0.57665,0.8617093754769208,10.9043925717991,31.537261962890625,4,15.5,6.656480360285525,11.697360217516398,0.8181026655281736,0.30140707095400543,0.938476141842067,2.24647833352974,0.9552789861505682,-3.135839015508155,2.8903577396683418e-05
rotX,benchmark_troll_shaman,troll_shaman,4242145,Block_2,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_troll_shaman\rotations\Block_2_rotX_+15.0_00001_.png,Block_2_rotX_+15.0_00001_.png,1024,1760,2.799999952316284,2.2128169536590576,0.790291782622538,0.074627685546875,76.76769406392694,1752,2.4538302421569824,3.7510883808135986,0.6157499999999999,0.8364958249408994,10.168135810252947,26.38226318359375,5,15.0,7.103430454279846,9.599569827305906,0.8347012256711578,0.3384195918831984,0.9617754189362103,2.3171127022198683,0.910305508700284,-3.1336351505680327,1.750405191941789e-05
